tier,rows,proposed_tokens,accepted_tokens,rejected_tokens_est,reject_events,accept_rate_pct,pattern_s,decode_s,verify_s
det_ctx8,93,331,307,24,9,92.75,0.013347,4.272551,0.025487
strong_ctx8,56,124,105,19,8,84.68,0.006069,2.063162,0.010511
syntax_indent,49,61,59,2,2,96.72,0.006172,1.460355,0.007503
det_ctx7,6,54,52,2,1,96.3,0.001451,0.243329,0.002968
det_ctx5,7,39,27,12,3,69.23,0.001223,0.289371,0.002749
strong_ctx4,29,32,22,10,10,68.75,0.003074,0.872019,0.004062
det_ctx4,20,30,19,11,5,63.33,0.002026,0.647062,0.003529
strong_ctx6,19,21,13,8,6,61.9,0.00175,0.578897,0.002592
syntax_for_in,11,15,12,3,2,80.0,0.001151,0.349294,0.001816
syntax_range_paren,3,14,0,14,3,0.0,0.000511,0.101584,0.001145
syntax_same_indent_simple_assign,14,14,8,6,6,57.14,0.002413,0.414827,0.001782
syntax_pluseq_space,1,12,1,11,1,8.33,0.000197,0.041205,0.001028
strong_ctx5,8,10,5,5,4,50.0,0.000858,0.252279,0.001453
det_ctx6,3,9,9,0,0,100.0,0.000443,0.108139,0.000673
syntax_name_eq,8,8,8,0,0,100.0,0.000635,0.236897,0.000999
syntax_minus_one,7,7,5,2,2,71.43,0.00082,0.213596,0.000888
syntax_return_terminal,5,7,4,3,3,57.14,0.00055,0.161711,0.000693
syntax_block_colon,3,6,6,0,0,100.0,0.00034,0.105879,0.000531
syntax_class_next_method,5,5,0,5,5,0.0,0.00048,0.143772,0.000651
strong_ctx7,4,5,5,0,0,100.0,0.000352,0.115536,0.000525
syntax_dedent_after_terminal,3,3,2,1,1,66.67,0.000255,0.088235,0.000485
syntax_return_len_self,2,2,0,2,2,0.0,0.000187,0.059289,0.000296
syntax_statement_end,1,2,1,1,1,50.0,0.000132,0.03606,0.000184
syntax_code_fence_def,1,1,1,0,0,100.0,0.000227,0.030672,0.000115
none,1519,0,0,0,0,0.0,0.124673,41.412019,0.118928
