prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
implement linked lsit in python only code no comments,spec_eval,1,1,0,1,0,1293,1293,none,,,,1329 4863 14078 57621 1276 1294 17483 2342 3475 1836 15476 1010,implement linked lsit in python only code no comments\n,,,,,   ,,no_pattern_fired,0,0,0,5.1099996198900044e-05,0.1003093000035733,5.4499992984347045e-05
implement linked lsit in python only code no comments,spec_eval,2,1,0,1,0,1845,1845,none,,,,4863 14078 57621 1276 1294 17483 2342 3475 1836 15476 1010 1293,plement linked lsit in python only code no comments\n   ,,,,, class,,no_pattern_fired,0,0,0,7.009999535512179e-05,0.09276460000546649,4.4899992644786835e-05
implement linked lsit in python only code no comments,spec_eval,3,1,0,1,0,15893,15893,none,,,,14078 57621 1276 1294 17483 2342 3475 1836 15476 1010 1293 1845, linked lsit in python only code no comments\n    class,,,,, Node,,no_pattern_fired,0,0,0,5.8200006606057286e-05,0.1000177999958396,4.579999949783087e-05
implement linked lsit in python only code no comments,spec_eval,4,1,0,1,0,1877,1877,none,,,,57621 1276 1294 17483 2342 3475 1836 15476 1010 1293 1845 15893, lsit in python only code no comments\n    class Node,,,,,:\n,,no_pattern_fired,0,0,0,6.10999995842576e-05,0.09857909999846015,9.620000491850078e-05
implement linked lsit in python only code no comments,spec_eval,5,1,1,2,1,2121,2121,syntax_indent,syntax_indent,0.980,999,1276 1294 17483 2342 3475 1836 15476 1010 1293 1845 15893 1877,it in python only code no comments\n    class Node:\n,1369,       ,1369,       , def,,draft_accepted,0,0,1,6.570000550709665e-05,0.1281213000038406,0.0001905999961309135
implement linked lsit in python only code no comments,spec_eval,7,1,0,1,0,6234,6234,none,,,,17483 2342 3475 1836 15476 1010 1293 1845 15893 1877 1369 2121, python only code no comments\n    class Node:\n        def,,,,, __,,no_pattern_fired,0,0,0,0.00010099999781232327,0.10420659999363124,5.569998756982386e-05
implement linked lsit in python only code no comments,spec_eval,8,1,1,2,1,15537,15537,syntax_dunder_init,syntax_dunder_init,1.000,999,2342 3475 1836 15476 1010 1293 1845 15893 1877 1369 2121 6234, only code no comments\n    class Node:\n        def __,4692,init,4692,init,__(,,draft_accepted,0,0,1,8.289999095723033e-05,0.12284719999297522,0.00015360000543296337
implement linked lsit in python only code no comments,spec_eval,10,1,1,2,1,1044,1044,syntax_dunder_self,syntax_dunder_self,1.000,999,1836 15476 1010 1293 1845 15893 1877 1369 2121 6234 4692 15537, no comments\n    class Node:\n        def __init__(,2917,self,2917,self,",",,draft_accepted,0,0,1,9.770000178832561e-05,0.11501299998781178,9.449999197386205e-05
implement linked lsit in python only code no comments,spec_eval,12,1,0,1,0,2181,2181,none,,,,1010 1293 1845 15893 1877 1369 2121 6234 4692 15537 2917 1044,"\n    class Node:\n        def __init__(self,",,,,, data,,no_pattern_fired,0,0,0,8.719999459572136e-05,0.10730740000144579,4.630000330507755e-05
implement linked lsit in python only code no comments,spec_eval,13,1,1,2,1,1463,1463,det_ctx7,det_ctx7,1.000,2,1293 1845 15893 1877 1369 2121 6234 4692 15537 2917 1044 2181,"    class Node:\n        def __init__(self, data",3640,):\n,3640,):\n,           ,,draft_accepted,0,0,1,6.580000626854599e-05,0.11956229999486823,0.00012339999375399202
implement linked lsit in python only code no comments,spec_eval,15,1,0,1,0,2585,2585,none,,,,15893 1877 1369 2121 6234 4692 15537 2917 1044 2181 3640 1463," Node:\n        def __init__(self, data):\n           ",,,,, self,,no_pattern_fired,0,0,0,8.679999154992402e-05,0.10123149999708403,5.0000002374872565e-05
implement linked lsit in python only code no comments,spec_eval,16,1,0,1,0,7122,7122,none,,,,1877 1369 2121 6234 4692 15537 2917 1044 2181 3640 1463 2585,":\n        def __init__(self, data):\n            self",,,,,.data,,no_pattern_fired,0,0,0,7.510000432375818e-05,0.11201510000682902,4.7200010158121586e-05
implement linked lsit in python only code no comments,spec_eval,17,1,0,1,0,1376,1376,none,,,,1369 2121 6234 4692 15537 2917 1044 2181 3640 1463 2585 7122,"        def __init__(self, data):\n            self.data",,,,, =,,no_pattern_fired,0,0,0,6.0999998822808266e-05,0.11071419999643695,4.529999569058418e-05
implement linked lsit in python only code no comments,spec_eval,18,1,0,1,0,2181,2181,none,,,,2121 6234 4692 15537 2917 1044 2181 3640 1463 2585 7122 1376," def __init__(self, data):\n            self.data =",,,,, data,,no_pattern_fired,0,0,0,6.219999340828508e-05,0.0984137999912491,4.7299996367655694e-05
implement linked lsit in python only code no comments,spec_eval,19,1,1,2,1,1463,1463,det_ctx4,det_ctx4,1.000,2,6234 4692 15537 2917 1044 2181 3640 1463 2585 7122 1376 2181," __init__(self, data):\n            self.data = data",1010,\n,1010,\n,           ,,draft_accepted,0,0,1,5.229999078437686e-05,0.12244669999927282,0.0001475000026402995
implement linked lsit in python only code no comments,spec_eval,21,1,0,1,0,2585,2585,none,,,,15537 2917 1044 2181 3640 1463 2585 7122 1376 2181 1010 1463,"__(self, data):\n            self.data = data\n           ",,,,, self,,no_pattern_fired,0,0,0,6.520000169984996e-05,0.10235690000990871,5.679999594576657e-05
implement linked lsit in python only code no comments,spec_eval,22,1,0,1,0,11713,11713,none,,,,2917 1044 2181 3640 1463 2585 7122 1376 2181 1010 1463 2585,"self, data):\n            self.data = data\n            self",,,,,.next,,no_pattern_fired,0,0,0,6.219999340828508e-05,0.10368459999153856,5.529999907594174e-05
implement linked lsit in python only code no comments,spec_eval,23,1,0,1,0,1376,1376,none,,,,1044 2181 3640 1463 2585 7122 1376 2181 1010 1463 2585 11713,", data):\n            self.data = data\n            self.next",,,,, =,,no_pattern_fired,0,0,0,7.809999806340784e-05,0.0971618000039598,5.369998689275235e-05
implement linked lsit in python only code no comments,spec_eval,24,1,0,1,0,8030,8030,none,,,,2181 3640 1463 2585 7122 1376 2181 1010 1463 2585 11713 1376, data):\n            self.data = data\n            self.next =,,,,, None,,no_pattern_fired,0,0,0,4.889999399892986e-05,0.09983069999725558,5.2499992307275534e-05
implement linked lsit in python only code no comments,spec_eval,25,1,0,1,0,1267,1267,none,,,,3640 1463 2585 7122 1376 2181 1010 1463 2585 11713 1376 8030,):\n            self.data = data\n            self.next = None,,,,,\n\n,,no_pattern_fired,0,0,0,7.919999188743532e-05,0.10151249999762513,4.959999932907522e-05
implement linked lsit in python only code no comments,spec_eval,26,1,1,1,0,1293,1293,det_ctx5,det_ctx5,1.000,2,1463 2585 7122 1376 2181 1010 1463 2585 11713 1376 8030 1267,            self.data = data\n            self.next = None\n\n,3176,class,1293,   ,   ,0,draft_token_mismatch,1,0,0,9.31999966269359e-05,2.995771699992474,0.00010410000686533749
implement linked lsit in python only code no comments,spec_eval,27,1,1,1,0,1845,1845,syntax_class_next_method,syntax_class_next_method,1.000,999,2585 7122 1376 2181 1010 1463 2585 11713 1376 8030 1267 1293, self.data = data\n            self.next = None\n\n   ,2121, def,1845, class, class,0,draft_token_mismatch,2,0,0,3.540000761859119e-05,3.161349000001792,9.709999721962959e-05
implement linked lsit in python only code no comments,spec_eval,28,1,0,1,0,37830,37830,none,,,,7122 1376 2181 1010 1463 2585 11713 1376 8030 1267 1293 1845,.data = data\n            self.next = None\n\n    class,,,,, Linked,,no_pattern_fired,2,0,0,6.809999467805028e-05,0.10278729999845382,4.880000778939575e-05
implement linked lsit in python only code no comments,spec_eval,29,1,0,1,0,2525,2525,none,,,,1376 2181 1010 1463 2585 11713 1376 8030 1267 1293 1845 37830, = data\n            self.next = None\n\n    class Linked,,,,,List,,no_pattern_fired,2,0,0,6.469999789260328e-05,0.09667050000280142,5.4800009820610285e-05
implement linked lsit in python only code no comments,spec_eval,30,1,0,1,0,1877,1877,none,,,,2181 1010 1463 2585 11713 1376 8030 1267 1293 1845 37830 2525, data\n            self.next = None\n\n    class LinkedList,,,,,:\n,,no_pattern_fired,2,0,0,0.00011280000035185367,0.09956870001042262,5.049999163020402e-05
implement linked lsit in python only code no comments,spec_eval,31,1,1,2,1,2121,2121,syntax_indent,syntax_indent,0.980,999,1010 1463 2585 11713 1376 8030 1267 1293 1845 37830 2525 1877,\n            self.next = None\n\n    class LinkedList:\n,1369,       ,1369,       , def,,draft_accepted,2,0,1,4.490000719670206e-05,0.1194450000039069,0.00010430000838823617
implement linked lsit in python only code no comments,spec_eval,33,1,0,1,0,6234,6234,none,,,,2585 11713 1376 8030 1267 1293 1845 37830 2525 1877 1369 2121, self.next = None\n\n    class LinkedList:\n        def,,,,, __,,no_pattern_fired,2,0,0,6.740000389982015e-05,0.10508059999847319,8.119999256450683e-05
implement linked lsit in python only code no comments,spec_eval,34,1,1,2,1,15537,15537,syntax_dunder_init,syntax_dunder_init,1.000,999,11713 1376 8030 1267 1293 1845 37830 2525 1877 1369 2121 6234,.next = None\n\n    class LinkedList:\n        def __,4692,init,4692,init,__(,,draft_accepted,2,0,1,7.350000669248402e-05,0.12075420000473969,0.00014679999731015414
implement linked lsit in python only code no comments,spec_eval,36,1,1,2,1,3640,3640,syntax_dunder_self,syntax_dunder_self,1.000,999,8030 1267 1293 1845 37830 2525 1877 1369 2121 6234 4692 15537, None\n\n    class LinkedList:\n        def __init__(,2917,self,2917,self,):\n,,draft_accepted,2,0,1,9.180000051856041e-05,0.12039070000173524,0.00014899999951012433
implement linked lsit in python only code no comments,spec_eval,38,1,1,2,1,2585,2585,syntax_indent,syntax_indent,0.980,999,1293 1845 37830 2525 1877 1369 2121 6234 4692 15537 2917 3640,    class LinkedList:\n        def __init__(self):\n,1463,           ,1463,           , self,,draft_accepted,2,0,1,5.560000136028975e-05,0.11797919998934958,0.00010140000085812062
implement linked lsit in python only code no comments,spec_eval,40,1,0,1,0,40936,40936,none,,,,37830 2525 1877 1369 2121 6234 4692 15537 2917 3640 1463 2585, LinkedList:\n        def __init__(self):\n            self,,,,,.head,,no_pattern_fired,2,0,0,6.799999391660094e-05,0.09328190000087488,9.180000051856041e-05
implement linked lsit in python only code no comments,spec_eval,41,1,0,1,0,1376,1376,none,,,,2525 1877 1369 2121 6234 4692 15537 2917 3640 1463 2585 40936,List:\n        def __init__(self):\n            self.head,,,,, =,,no_pattern_fired,2,0,0,0.00012159999459981918,0.10614689999783877,8.369999704882503e-05
implement linked lsit in python only code no comments,spec_eval,42,1,0,1,0,8030,8030,none,,,,1877 1369 2121 6234 4692 15537 2917 3640 1463 2585 40936 1376,:\n        def __init__(self):\n            self.head =,,,,, None,,no_pattern_fired,2,0,0,7.850000110920519e-05,0.10331500000029337,8.170001092366874e-05
implement linked lsit in python only code no comments,spec_eval,43,1,0,1,0,1267,1267,none,,,,1369 2121 6234 4692 15537 2917 3640 1463 2585 40936 1376 8030,        def __init__(self):\n            self.head = None,,,,,\n\n,,no_pattern_fired,2,0,0,7.88999896030873e-05,0.09765070000139531,8.289999095723033e-05
implement linked lsit in python only code no comments,spec_eval,44,1,1,1,0,1369,1369,det_ctx5,det_ctx5,1.000,2,2121 6234 4692 15537 2917 3640 1463 2585 40936 1376 8030 1267, def __init__(self):\n            self.head = None\n\n,1293,   ,1369,       ,       ,0,draft_token_mismatch,3,0,0,9.950000094249845e-05,4.847407000008388,9.14999982342124e-05
implement linked lsit in python only code no comments,spec_eval,45,1,0,1,0,2121,2121,none,,,,6234 4692 15537 2917 3640 1463 2585 40936 1376 8030 1267 1369, __init__(self):\n            self.head = None\n\n       ,,,,, def,,no_pattern_fired,3,0,0,0.0006607999966945499,0.09829129998979624,8.170001092366874e-05
implement linked lsit in python only code no comments,spec_eval,46,1,0,1,0,21378,21378,none,,,,4692 15537 2917 3640 1463 2585 40936 1376 8030 1267 1369 2121,init__(self):\n            self.head = None\n\n        def,,,,, append,,no_pattern_fired,3,0,0,7.589999586343765e-05,0.09704589999455493,4.400000034365803e-05
implement linked lsit in python only code no comments,spec_eval,47,1,0,1,0,5024,5024,none,,,,15537 2917 3640 1463 2585 40936 1376 8030 1267 1369 2121 21378,__(self):\n            self.head = None\n\n        def append,,,,,(self,,no_pattern_fired,3,0,0,9.750000026542693e-05,0.09747980000975076,8.3099992480129e-05
implement linked lsit in python only code no comments,spec_eval,48,1,0,1,0,1044,1044,none,,,,2917 3640 1463 2585 40936 1376 8030 1267 1369 2121 21378 5024,self):\n            self.head = None\n\n        def append(self,,,,,",",,no_pattern_fired,3,0,0,0.00010460001067258418,0.09413890000723768,4.939999780617654e-05
implement linked lsit in python only code no comments,spec_eval,49,1,0,1,0,2181,2181,none,,,,3640 1463 2585 40936 1376 8030 1267 1369 2121 21378 5024 1044,"):\n            self.head = None\n\n        def append(self,",,,,, data,,no_pattern_fired,3,0,0,6.830001075286418e-05,0.10463680000975728,4.579999949783087e-05
implement linked lsit in python only code no comments,spec_eval,50,1,1,2,1,1463,1463,det_ctx5,det_ctx5,1.000,2,1463 2585 40936 1376 8030 1267 1369 2121 21378 5024 1044 2181,"            self.head = None\n\n        def append(self, data",3640,):\n,3640,):\n,           ,,draft_accepted,3,0,1,5.780000356025994e-05,0.11624430000665598,0.000112599998828955
implement linked lsit in python only code no comments,spec_eval,52,1,0,1,0,1875,1875,none,,,,40936 1376 8030 1267 1369 2121 21378 5024 1044 2181 3640 1463,".head = None\n\n        def append(self, data):\n           ",,,,, new,,no_pattern_fired,3,0,0,8.72999953571707e-05,0.0981683999998495,4.939999780617654e-05
implement linked lsit in python only code no comments,spec_eval,53,1,0,1,0,20816,20816,none,,,,1376 8030 1267 1369 2121 21378 5024 1044 2181 3640 1463 1875," = None\n\n        def append(self, data):\n            new",,,,,_node,,no_pattern_fired,3,0,0,8.290000550914556e-05,0.09145170000556391,4.440000338945538e-05
implement linked lsit in python only code no comments,spec_eval,54,1,0,1,0,1376,1376,none,,,,8030 1267 1369 2121 21378 5024 1044 2181 3640 1463 1875 20816," None\n\n        def append(self, data):\n            new_node",,,,, =,,no_pattern_fired,3,0,0,6.800000846851617e-05,0.09834169999521691,4.610000178217888e-05
implement linked lsit in python only code no comments,spec_eval,55,1,0,1,0,15893,15893,none,,,,1267 1369 2121 21378 5024 1044 2181 3640 1463 1875 20816 1376,"\n\n        def append(self, data):\n            new_node =",,,,, Node,,no_pattern_fired,3,0,0,5.509999755304307e-05,0.09763220000604633,5.4199990699999034e-05
implement linked lsit in python only code no comments,spec_eval,56,1,0,1,0,8435,8435,none,,,,1369 2121 21378 5024 1044 2181 3640 1463 1875 20816 1376 15893,"        def append(self, data):\n            new_node = Node",,,,,(data,,no_pattern_fired,3,0,0,7.190000906120986e-05,0.10469420001027174,8.950001210905612e-05
implement linked lsit in python only code no comments,spec_eval,57,1,1,2,1,1463,1463,det_ctx5,det_ctx5,1.000,3,2121 21378 5024 1044 2181 3640 1463 1875 20816 1376 15893 8435," def append(self, data):\n            new_node = Node(data",1456,)\n,1456,)\n,           ,,draft_accepted,3,0,1,0.00011670000094454736,0.11767500000132713,0.00010410000686533749
implement linked lsit in python only code no comments,spec_eval,59,1,0,1,0,1693,1693,none,,,,5024 1044 2181 3640 1463 1875 20816 1376 15893 8435 1456 1463,"(self, data):\n            new_node = Node(data)\n           ",,,,, if,,no_pattern_fired,3,0,0,9.840000711847097e-05,0.1007845999993151,4.5199994929134846e-05
implement linked lsit in python only code no comments,spec_eval,60,1,0,1,0,1605,1605,none,,,,1044 2181 3640 1463 1875 20816 1376 15893 8435 1456 1463 1693,", data):\n            new_node = Node(data)\n            if",,,,, not,,no_pattern_fired,3,0,0,6.86999992467463e-05,0.09737209999002516,4.679999256040901e-05
