prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,pattern_s,decode_s,verify_s
implement linked list in python only code no comments,spec_eval,1,1,0,1,0,73594,73594,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198,implement linked list in python only code no comments\n,,,,,```,,no_pattern_fired,0,0,5.0199996621813625e-05,0.03319779999583261,0.0009581000049365684
implement linked list in python only code no comments,spec_eval,2,1,0,1,0,12669,12669,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198 73594,implement linked list in python only code no comments\n```,,,,,python,,no_pattern_fired,0,0,5.490000330610201e-05,0.033752800001821015,0.00013659999967785552
implement linked list in python only code no comments,spec_eval,3,1,0,1,0,198,198,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198 73594 12669,implement linked list in python only code no comments\n```python,,,,,\n,,no_pattern_fired,0,0,0.00014419999934034422,0.03222030000324594,0.00015380000695586205
implement linked list in python only code no comments,spec_eval,4,1,1,1,0,1040,1040,det_ctx4,det_ctx4,1.000,8,10592 1140 304 10135 1172 2038 902 6042 198 73594 12669 198, linked list in python only code no comments\n```python\n,750,def,1040,class,class,0,draft_token_mismatch,1,0,0.0005591000008280389,0.0917224000004353,0.0009051000015460886
implement linked list in python only code no comments,spec_eval,5,1,0,1,0,6018,6018,none,,,,1140 304 10135 1172 2038 902 6042 198 73594 12669 198 1040, list in python only code no comments\n```python\nclass,,,,, Node,,no_pattern_fired,1,0,8.86999987415038e-05,0.0369014000025345,0.0001277999981539324
implement linked list in python only code no comments,spec_eval,5,1,6,7,6,721,721,syntax_class_colon,syntax_class_colon|syntax_indent|det_ctx7|det_ctx8|syntax_dunder_init|syntax_dunder_paren,1.000|0.980|1.000|1.000|1.000|1.000,999|999|4|4|999|999,304 10135 1172 2038 902 6042 198 73594 12669 198 1040 6018, in python only code no comments\n```python\nclass Node,510 262 707 1304 2327 3804,:\n    def __init__(,510 262 707 1304 2327 3804,:\n    def __init__(,self,,draft_accepted,1,0,0.00046489999658660963,0.1205162999976892,0.0009615000017220154
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,821,821,det_ctx8,det_ctx8,1.000,5,73594 12669 198 1040 6018 510 262 707 1304 2327 3804 721,```python\nclass Node:\n    def __init__(self,11,",",11,",", data,,draft_accepted,1,0,7.990000449353829e-05,0.04426039999816567,0.0001455999954487197
implement linked list in python only code no comments,spec_eval,6,1,7,8,7,286,286,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|2|2,198 1040 6018 510 262 707 1304 2327 3804 721 11 821,"\nclass Node:\n    def __init__(self, data",982 286 656 2196 284 821 198,):\n        self.data = data\n,982 286 656 2196 284 821 198,):\n        self.data = data\n,       ,,draft_accepted,1,0,0.0003040000010514632,0.1427142000029562,0.000924600004509557
implement linked list in python only code no comments,spec_eval,4,1,8,6,5,1040,1040,det_ctx8,det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|syntax_class_method_indent|det_ctx4|det_ctx5,1.000|1.000|1.000|1.000|1.000|0.990|1.000|1.000,2|2|2|2|2|999|3|3,3804 721 11 821 982 286 656 2196 284 821 198 286,"__(self, data):\n        self.data = data\n       ",656 4529 284 2240 271 262 707 8737, self.next = None\n\n    def append,656 4529 284 2240 271 1040 707 1304, self.next = None\n\nclass def __,class,5,draft_token_mismatch,2,0,0.0003398000044398941,0.10277669999777572,0.0005548999979509972
implement linked list in python only code no comments,spec_eval,29,1,0,1,0,22917,22917,none,,,,656 2196 284 821 198 286 656 4529 284 2240 271 1040, self.data = data\n        self.next = None\n\nclass,,,,, LinkedList,,no_pattern_fired,2,0,4.579999949783087e-05,0.0398432000001776,0.00010759999713627622
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,707,707,syntax_class_colon,syntax_class_colon|syntax_indent,1.000|0.980,999|999,2196 284 821 198 286 656 4529 284 2240 271 1040 22917,.data = data\n        self.next = None\n\nclass LinkedList,510 262,:\n   ,510 262,:\n   , def,,draft_accepted,2,0,0.0001453000004403293,0.07831230000010692,0.0003225999971618876
implement linked list in python only code no comments,spec_eval,33,1,0,1,0,1304,1304,none,,,,198 286 656 4529 284 2240 271 1040 22917 510 262 707,\n        self.next = None\n\nclass LinkedList:\n    def,,,,, __,,no_pattern_fired,2,0,6.44999963697046e-05,0.04542020000371849,0.00012540000170702115
implement linked list in python only code no comments,spec_eval,2,1,3,4,3,982,982,syntax_dunder_init,syntax_dunder_init|syntax_dunder_paren|syntax_dunder_self,1.000|1.000|1.000,999|999|999,286 656 4529 284 2240 271 1040 22917 510 262 707 1304,        self.next = None\n\nclass LinkedList:\n    def __,2327 3804 721,init__(self,2327 3804 721,init__(self,):\n,,draft_accepted,2,0,0.0001835999937611632,0.09911250000004657,0.00040409999928670004
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,16042,16042,syntax_indent,syntax_indent|det_ctx8,0.980|1.000,999|10,2240 271 1040 22917 510 262 707 1304 2327 3804 721 982, None\n\nclass LinkedList:\n    def __init__(self):\n,286 656,        self,286 656,        self,.head,,draft_accepted,2,0,0.0001323000033153221,0.06788170000072569,0.00047849999828031287
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,271,271,det_ctx8,det_ctx8|det_ctx8,1.000|1.000,3|3,22917 510 262 707 1304 2327 3804 721 982 286 656 16042, LinkedList:\n    def __init__(self):\n        self.head,284 2240, = None,284 2240, = None,\n\n,,draft_accepted,2,0,0.00018629999976838008,0.07347569999546977,0.0003839999990304932
implement linked list in python only code no comments,spec_eval,4,1,5,6,5,821,821,syntax_class_method_indent,syntax_class_method_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8,0.990|1.000|1.000|1.000|1.000,999|2|2|2|2,707 1304 2327 3804 721 982 286 656 16042 284 2240 271, def __init__(self):\n        self.head = None\n\n,262 707 8737 1193 11,"    def append(self,",262 707 8737 1193 11,"    def append(self,", data,,draft_accepted,2,0,0.00029489999724319205,0.1444883000003756,0.0008171000008587725
implement linked list in python only code no comments,spec_eval,11,1,12,13,12,16042,16042,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|3|3|3|3|3|3|3,286 656 16042 284 2240 271 262 707 8737 1193 11 821,"        self.head = None\n\n    def append(self, data",982 286 501 5084 284 6018 2592 340 286 421 537 656,):\n        new_node = Node(data)\n        if not self,982 286 501 5084 284 6018 2592 340 286 421 537 656,):\n        new_node = Node(data)\n        if not self,.head,,draft_accepted,2,0,0.0005500999977812171,0.09333460000198102,0.0006414999952539802
implement linked list in python only code no comments,spec_eval,8,1,9,10,9,470,470,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000|1.000,3|999|4|4|4|4|4|4|4,286 501 5084 284 6018 2592 340 286 421 537 656 16042,        new_node = Node(data)\n        if not self.head,510 310 656 16042 284 501 5084 198 310,:\n            self.head = new_node\n           ,510 310 656 16042 284 501 5084 198 310,:\n            self.head = new_node\n           , return,,draft_accepted,2,0,0.00041200000123353675,0.09072739999828627,0.0005672000042977743
implement linked list in python only code no comments,spec_eval,73,1,0,1,0,198,198,none,,,,656 16042 510 310 656 16042 284 501 5084 198 310 470, self.head:\n            self.head = new_node\n            return,,,,,\n,,no_pattern_fired,2,0,6.440000288421288e-05,0.052458199999819044,9.160000627161935e-05
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,1537,1537,det_ctx4,det_ctx4,1.000,2,16042 510 310 656 16042 284 501 5084 198 310 470 198,.head:\n            self.head = new_node\n            return\n,286,       ,286,       , last,,draft_accepted,2,0,7.599999662488699e-05,0.05990420000307495,0.0002403999969828874
implement linked list in python only code no comments,spec_eval,76,1,0,1,0,5084,5084,none,,,,310 656 16042 284 501 5084 198 310 470 198 286 1537,            self.head = new_node\n            return\n        last,,,,,_node,,no_pattern_fired,2,0,0.00010369999654358253,0.05176419999770587,0.00012989999959245324
implement linked list in python only code no comments,spec_eval,77,1,0,1,0,284,284,none,,,,656 16042 284 501 5084 198 310 470 198 286 1537 5084, self.head = new_node\n            return\n        last_node,,,,, =,,no_pattern_fired,2,0,7.789999654050916e-05,0.05065879999892786,0.00013219999527791515
implement linked list in python only code no comments,spec_eval,78,1,0,1,0,656,656,none,,,,16042 284 501 5084 198 310 470 198 286 1537 5084 284,.head = new_node\n            return\n        last_node =,,,,, self,,no_pattern_fired,2,0,9.349999891128391e-05,0.04666480000014417,9.210000280290842e-05
implement linked list in python only code no comments,spec_eval,79,1,0,1,0,16042,16042,none,,,,284 501 5084 198 310 470 198 286 1537 5084 284 656, = new_node\n            return\n        last_node = self,,,,,.head,,no_pattern_fired,2,0,0.0009443000017199665,0.04691330000059679,0.00014340000052470714
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,286,286,det_ctx4,det_ctx4,1.000,2,501 5084 198 310 470 198 286 1537 5084 284 656 16042, new_node\n            return\n        last_node = self.head,198,\n,198,\n,       ,,draft_accepted,2,0,0.00011139999696752056,0.057652499999676365,0.00026330000400776044
implement linked list in python only code no comments,spec_eval,82,1,0,1,0,1393,1393,none,,,,198 310 470 198 286 1537 5084 284 656 16042 198 286,\n            return\n        last_node = self.head\n       ,,,,, while,,no_pattern_fired,2,0,7.130000449251384e-05,0.05037319999973988,0.0001444000008632429
implement linked list in python only code no comments,spec_eval,83,1,0,1,0,1537,1537,none,,,,310 470 198 286 1537 5084 284 656 16042 198 286 1393,            return\n        last_node = self.head\n        while,,,,, last,,no_pattern_fired,2,0,0.0002449999956297688,0.05010480000055395,7.439999899361283e-05
implement linked list in python only code no comments,spec_eval,84,1,2,1,0,5084,5084,syntax_while_colon,syntax_while_colon|syntax_indent,1.000|0.980,999|999,470 198 286 1537 5084 284 656 16042 198 286 1393 1537, return\n        last_node = self.head\n        while last,510 310,:\n           ,5084 310,_node           ,_node,0,draft_token_mismatch,3,0,0.0001520000005257316,0.12059830000362126,0.00019780000002356246
implement linked list in python only code no comments,spec_eval,85,1,2,1,0,4529,4529,syntax_while_colon,syntax_while_colon|syntax_indent,1.000|0.980,999|999,198 286 1537 5084 284 656 16042 198 286 1393 1537 5084,\n        last_node = self.head\n        while last_node,510 310,:\n           ,4529 310,.next           ,.next,0,draft_token_mismatch,4,0,0.00021149999520275742,0.12334750000445638,0.0003772999989450909
implement linked list in python only code no comments,spec_eval,86,1,0,1,0,510,510,none,,,,286 1537 5084 284 656 16042 198 286 1393 1537 5084 4529,        last_node = self.head\n        while last_node.next,,,,,:\n,,no_pattern_fired,4,0,8.600000001024455e-05,0.049828299997898284,0.00012740000238409266
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,1537,1537,syntax_indent,syntax_indent,0.980,999,1537 5084 284 656 16042 198 286 1393 1537 5084 4529 510, last_node = self.head\n        while last_node.next:\n,310,           ,310,           , last,,draft_accepted,4,0,8.209999941755086e-05,0.05701479999697767,0.0002282999994349666
implement linked list in python only code no comments,spec_eval,89,1,0,1,0,5084,5084,none,,,,284 656 16042 198 286 1393 1537 5084 4529 510 310 1537, = self.head\n        while last_node.next:\n            last,,,,,_node,,no_pattern_fired,4,0,7.760000153211877e-05,0.048795999995491,8.659999730298296e-05
