task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,1,1,0,1,0,5109,5109,none,,,,3007 198 262 3190 2 18608 279 729 2487 1172 624 262," True\n    """"""\n# Complete the function body only.\n   ",,,,, numbers,,no_pattern_fired,0,0,0,3.440000000409782e-05,0.02665539999725297,0.00011970000196015462
HumanEval/0,1,,spec_eval,2,1,0,1,0,10614,10614,none,,,,198 262 3190 2 18608 279 729 2487 1172 624 262 5109,"\n    """"""\n# Complete the function body only.\n    numbers",,,,,.sort,,no_pattern_fired,0,0,0,7.6299998909235e-05,0.02633590000186814,0.00012829999468522146
HumanEval/0,1,,spec_eval,3,1,0,1,0,741,741,none,,,,262 3190 2 18608 279 729 2487 1172 624 262 5109 10614,"    """"""\n# Complete the function body only.\n    numbers.sort",,,,,()\n,,no_pattern_fired,0,0,0,8.069999603321776e-05,0.02514060000248719,7.679999544052407e-05
HumanEval/0,1,,spec_eval,4,1,0,1,0,262,262,none,,,,3190 2 18608 279 729 2487 1172 624 262 5109 10614 741," """"""\n# Complete the function body only.\n    numbers.sort()\n",,,,,   ,,no_pattern_fired,0,0,0,7.350000669248402e-05,0.025086699999519624,6.550000398419797e-05
HumanEval/0,1,,spec_eval,5,1,0,1,0,369,369,none,,,,2 18608 279 729 2487 1172 624 262 5109 10614 741 262,# Complete the function body only.\n    numbers.sort()\n   ,,,,, for,,no_pattern_fired,0,0,0,5.510000482900068e-05,0.024950999999418855,6.70000008540228e-05
HumanEval/0,1,,spec_eval,6,1,0,1,0,600,600,none,,,,18608 279 729 2487 1172 624 262 5109 10614 741 262 369, Complete the function body only.\n    numbers.sort()\n    for,,,,, i,,no_pattern_fired,0,0,0,7.789999654050916e-05,0.024909800005843863,9.190000128000975e-05
HumanEval/0,1,,spec_eval,7,1,1,2,1,2088,2088,syntax_for_in,syntax_for_in,0.990,999,279 729 2487 1172 624 262 5109 10614 741 262 369 600, the function body only.\n    numbers.sort()\n    for i,304, in,304, in, range,,draft_accepted,0,0,1,0.00011229999654460698,0.030524300003889948,0.00017279999883612618
HumanEval/0,1,,spec_eval,9,1,0,1,0,6901,6901,none,,,,2487 1172 624 262 5109 10614 741 262 369 600 304 2088, body only.\n    numbers.sort()\n    for i in range,,,,,(len,,no_pattern_fired,0,0,0,5.909999890718609e-05,0.026245200002449565,6.479999865405262e-05
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,1,0,0,7.919999916339293e-05,0.027023900001950096,0.00018989999807672575
HumanEval/0,1,,spec_eval,11,1,0,1,0,8,8,none,,,,624 262 5109 10614 741 262 369 600 304 2088 6901 47207,.\n    numbers.sort()\n    for i in range(len(numbers,,,,,),,no_pattern_fired,1,0,0,6.459999713115394e-05,0.026484900001378264,7.780000305501744e-05
