task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,1,0,0,7.919999916339293e-05,0.027023900001950096,0.00018989999807672575
HumanEval/0,1,,spec_eval,13,1,1,1,0,220,220,syntax_minus_one,syntax_minus_one,0.930,999,5109 10614 741 262 369 600 304 2088 6901 47207 8 481, numbers.sort()\n    for i in range(len(numbers) -,16,1,220, , ,0,draft_token_mismatch,2,0,0,0.00014060000103199854,0.027754200003982987,0.00011700000322889537
HumanEval/0,1,,spec_eval,25,1,1,1,0,5109,5109,syntax_minus_one,syntax_minus_one,0.930,999,220 16 982 286 421 5109 989 488 220 16 60 481, 1):\n        if numbers[i + 1] -,16,1,5109, numbers, numbers,0,draft_token_mismatch,3,0,0,0.00015310000162571669,0.027588700002525002,0.00012120000610593706
HumanEval/0,1,,spec_eval,34,1,2,2,1,262,262,syntax_return_terminal,syntax_return_terminal|syntax_dedent_after_terminal,1.000|0.940,999|999,16 60 481 5109 989 60 366 12171 510 310 470 3007,1] - numbers[i] < threshold:\n            return True,198 286,\n       ,198 262,\n   ,   ,1,draft_token_mismatch,4,0,1,8.97999998414889e-05,0.031242099998053163,0.00021019999985583127
HumanEval/0,1,,spec_eval,38,1,1,1,0,1406,1406,syntax_return_terminal,syntax_return_terminal,1.000,999,989 60 366 12171 510 310 470 3007 198 262 470 3557,[i] < threshold:\n            return True\n    return False,198,\n,1406,\n\n\n,\n\n\n,0,draft_token_mismatch,5,0,0,9.620000491850078e-05,0.02729679999902146,0.00017780000052880496
HumanEval/1,2,,spec_eval,27,1,1,1,0,369,369,strong_ctx5,strong_ctx5,1.000,1,2730 284 8389 262 1787 620 9151 284 220 15 198 262," temp = """"\n    open_paren = 0\n   ",10619, priority,369, for, for,0,draft_token_mismatch,1,0,0,6.079999729990959e-05,0.026818400001502596,0.00012260000221431255
HumanEval/1,2,,spec_eval,47,1,1,1,0,286,286,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0.880,999,1161 621 33579 510 310 1787 620 9151 1421 220 16 198," char == ""("":\n            open_paren += 1\n",310,           ,286,       ,       ,0,draft_token_mismatch,2,0,0,0.0013468999968608841,0.02738359999784734,0.00011800000356743112
HumanEval/1,2,,spec_eval,48,1,1,1,0,4409,4409,det_ctx5,det_ctx5,1.000,2,621 33579 510 310 1787 620 9151 1421 220 16 198 286," == ""("":\n            open_paren += 1\n       ",1290, right,4409, elif, elif,0,draft_token_mismatch,3,0,0,5.4499992984347045e-05,0.027653400000417605,0.00012459999561542645
HumanEval/1,2,,spec_eval,61,1,1,1,0,286,286,det_ctx4,det_ctx4,1.000,2,1161 621 12310 4660 310 1787 620 9151 5982 220 16 198," char == "")"":\n            open_paren -= 1\n",262,   ,286,       ,       ,0,draft_token_mismatch,4,0,0,5.879999662283808e-05,0.027133499999763444,0.00011490000179037452
HumanEval/1,2,,spec_eval,62,1,1,1,0,2730,2730,det_ctx4,det_ctx4,1.000,2,621 12310 4660 310 1787 620 9151 5982 220 16 198 286," == "")"":\n            open_paren -= 1\n       ",1290, right,2730, temp, temp,0,draft_token_mismatch,5,0,0,6.199999916134402e-05,0.027268699996056966,0.00013279999984661117
