prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,decode_s,verify_s
implement linked lsit in python only code no comments,spec_eval,1,1,0,1,0,73594,73594,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198,implement linked lsit in python only code no comments\n,,,,,```,,no_pattern_fired,0,0,0.02697020000050543,7.230000119307078e-05
implement linked lsit in python only code no comments,spec_eval,2,1,0,1,0,12669,12669,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198 73594,implement linked lsit in python only code no comments\n```,,,,,python,,no_pattern_fired,0,0,0.026242299998557428,6.289999873843044e-05
implement linked lsit in python only code no comments,spec_eval,3,1,0,1,0,198,198,none,,,,10592 19597 275 304 10135 1172 2038 902 6042 198 73594 12669, linked lsit in python only code no comments\n```python,,,,,\n,,no_pattern_fired,0,0,0.02498130000094534,7.03999976394698e-05
implement linked lsit in python only code no comments,spec_eval,4,1,1,1,0,1040,1040,det_ctx4,det_ctx4,1.000,8,19597 275 304 10135 1172 2038 902 6042 198 73594 12669 198, lsit in python only code no comments\n```python\n,750,def,1040,class,class,0,draft_token_mismatch,1,0,0.03007920000163722,0.00013700000272365287
implement linked lsit in python only code no comments,spec_eval,5,1,0,1,0,6018,6018,none,,,,275 304 10135 1172 2038 902 6042 198 73594 12669 198 1040,it in python only code no comments\n```python\nclass,,,,, Node,,no_pattern_fired,1,0,0.026409400001284666,7.389999882434495e-05
implement linked lsit in python only code no comments,spec_eval,6,1,8,9,8,821,821,det_ctx5,det_ctx5|syntax_indent|det_ctx7|det_ctx8|syntax_dunder_init|syntax_dunder_paren|syntax_dunder_self|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000,4|999|4|4|999|999|999|5,304 10135 1172 2038 902 6042 198 73594 12669 198 1040 6018, in python only code no comments\n```python\nclass Node,510 262 707 1304 2327 3804 721 11,":\n    def __init__(self,",510 262 707 1304 2327 3804 721 11,":\n    def __init__(self,", data,,draft_accepted,1,0,0.038616499998170184,0.0005004000013286714
implement linked lsit in python only code no comments,spec_eval,15,1,12,13,12,271,271,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|2|2|2|2|2|2|2,198 1040 6018 510 262 707 1304 2327 3804 721 11 821,"\nclass Node:\n    def __init__(self, data",982 286 656 2196 284 821 198 286 656 4529 284 2240,):\n        self.data = data\n        self.next = None,982 286 656 2196 284 821 198 286 656 4529 284 2240,):\n        self.data = data\n        self.next = None,\n\n,,draft_accepted,1,0,0.038884800000232644,0.0005525999986275565
implement linked lsit in python only code no comments,spec_eval,28,1,1,2,1,22917,22917,det_ctx8,det_ctx8,1.000,2,286 656 2196 284 821 198 286 656 4529 284 2240 271,        self.data = data\n        self.next = None\n\n,1040,class,1040,class, LinkedList,,draft_accepted,1,0,0.027043300000514137,0.00011520000043674372
implement linked lsit in python only code no comments,spec_eval,30,1,0,1,0,510,510,none,,,,2196 284 821 198 286 656 4529 284 2240 271 1040 22917,.data = data\n        self.next = None\n\nclass LinkedList,,,,,:\n,,no_pattern_fired,1,0,0.026726000000053318,6.27999979769811e-05
implement linked lsit in python only code no comments,spec_eval,31,1,1,2,1,707,707,syntax_indent,syntax_indent,0.980,999,284 821 198 286 656 4529 284 2240 271 1040 22917 510, = data\n        self.next = None\n\nclass LinkedList:\n,262,   ,262,   , def,,draft_accepted,1,0,0.026936700000078417,0.0001143000008596573
implement linked lsit in python only code no comments,spec_eval,33,1,0,1,0,1304,1304,none,,,,198 286 656 4529 284 2240 271 1040 22917 510 262 707,\n        self.next = None\n\nclass LinkedList:\n    def,,,,, __,,no_pattern_fired,1,0,0.02663889999894309,6.650000068475492e-05
implement linked lsit in python only code no comments,spec_eval,34,1,3,4,3,982,982,syntax_dunder_init,syntax_dunder_init|syntax_dunder_paren|syntax_dunder_self,1.000|1.000|1.000,999|999|999,286 656 4529 284 2240 271 1040 22917 510 262 707 1304,        self.next = None\n\nclass LinkedList:\n    def __,2327 3804 721,init__(self,2327 3804 721,init__(self,):\n,,draft_accepted,1,0,0.03201930000068387,0.0001993000005313661
implement linked lsit in python only code no comments,spec_eval,38,1,2,3,2,16042,16042,syntax_indent,syntax_indent|det_ctx8,0.980|1.000,999|10,2240 271 1040 22917 510 262 707 1304 2327 3804 721 982, None\n\nclass LinkedList:\n    def __init__(self):\n,286 656,        self,286 656,        self,.head,,draft_accepted,1,0,0.029978100003063446,0.00017409999782103114
implement linked lsit in python only code no comments,spec_eval,41,1,2,3,2,271,271,det_ctx8,det_ctx8|det_ctx8,1.000|1.000,3|3,22917 510 262 707 1304 2327 3804 721 982 286 656 16042, LinkedList:\n    def __init__(self):\n        self.head,284 2240, = None,284 2240, = None,\n\n,,draft_accepted,1,0,0.027925200000026962,0.00017500000103609636
implement linked lsit in python only code no comments,spec_eval,44,1,5,6,5,821,821,det_ctx8,det_ctx8|syntax_class_next_method|det_ctx8|det_ctx8|det_ctx8,1.000|1.000|1.000|1.000|1.000,2|999|2|2|2,707 1304 2327 3804 721 982 286 656 16042 284 2240 271, def __init__(self):\n        self.head = None\n\n,262 707 8737 1193 11,"    def append(self,",262 707 8737 1193 11,"    def append(self,", data,,draft_accepted,1,0,0.04108590000032564,0.00033319999783998355
implement linked lsit in python only code no comments,spec_eval,50,1,12,13,12,16042,16042,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|3|3|3|3|3|3|3,286 656 16042 284 2240 271 262 707 8737 1193 11 821,"        self.head = None\n\n    def append(self, data",982 286 501 5084 284 6018 2592 340 286 421 537 656,):\n        new_node = Node(data)\n        if not self,982 286 501 5084 284 6018 2592 340 286 421 537 656,):\n        new_node = Node(data)\n        if not self,.head,,draft_accepted,1,0,0.03517619999911403,0.0005211000025155954
