tier,rows,proposed_tokens,accepted_tokens,rejected_tokens_est,reject_events,accept_rate_pct,pattern_s,decode_s,verify_s
det_ctx8,107,352,324,28,11,92.05,0.013786,3.45901,0.025255
strong_ctx8,55,107,102,5,5,95.33,0.00462,1.604698,0.00977
syntax_indent,51,59,57,2,2,96.61,0.005748,1.391417,0.007475
strong_ctx4,31,31,18,13,13,58.06,0.002144,0.839637,0.004322
det_ctx7,6,30,29,1,1,96.67,0.000959,0.18567,0.001637
strong_ctx6,21,21,13,8,8,61.9,0.001292,0.581791,0.002986
det_ctx4,20,20,15,5,5,75.0,0.001303,0.545132,0.003074
syntax_same_indent_simple_assign,14,14,8,6,6,57.14,0.002189,0.381326,0.002142
syntax_for_in,11,11,11,0,0,100.0,0.001128,0.301995,0.001468
det_ctx5,6,9,7,2,2,77.78,0.00048,0.164736,0.001069
det_ctx6,3,9,9,0,0,100.0,0.000381,0.090137,0.000621
strong_ctx5,8,8,4,4,4,50.0,0.000581,0.217615,0.001093
syntax_name_eq,8,8,8,0,0,100.0,0.000681,0.213668,0.00103
syntax_minus_one,7,7,5,2,2,71.43,0.000859,0.19102,0.000869
syntax_return_terminal,5,7,4,3,3,57.14,0.00048,0.138158,0.000822
syntax_block_colon,3,6,6,0,0,100.0,0.000405,0.081932,0.000516
strong_ctx7,5,6,6,0,0,100.0,0.000385,0.131946,0.000677
syntax_dedent_after_terminal,3,3,2,1,1,66.67,0.000284,0.082397,0.000456
freq_ctx5,1,2,2,0,0,100.0,0.000199,0.027966,0.000208
syntax_return_len_self,2,2,0,2,2,0.0,0.000209,0.052593,0.000506
syntax_statement_end,1,2,1,1,1,50.0,0.000163,0.028241,0.000157
syntax_code_fence_def,1,1,1,0,0,100.0,0.000202,0.02689,0.00012
syntax_pluseq_space,1,1,1,0,0,100.0,5.6e-05,0.026894,0.000151
none,1545,0,0,0,0,0.0,0.1158,39.41767,0.121663
