task_id,pos,tier,rule_chain,mismatch_at,wanted_token_id,target_token_id,draft_text,target_model_text,ctx_tail_text
HumanEval/0,9,syntax_range_paren,syntax_range_paren,0,7,6901,(,(len, body only.\n    numbers.sort()\n    for i in range
HumanEval/0,10,strong_ctx5,strong_ctx5,0,63779,47207,(Graph,(numbers, only.\n    numbers.sort()\n    for i in range(len
HumanEval/0,13,syntax_minus_one,syntax_minus_one,0,16,220,1, , numbers.sort()\n    for i in range(len(numbers) -
HumanEval/0,25,syntax_minus_one,syntax_minus_one,0,16,5109,1, numbers, 1):\n        if numbers[i + 1] -
HumanEval/0,34,syntax_return_terminal,syntax_return_terminal|syntax_dedent_after_terminal,1,286,262,\n       ,\n   ,1] - numbers[i] < threshold:\n            return True
HumanEval/0,38,syntax_return_terminal,syntax_return_terminal,0,198,1406,\n,\n\n\n,[i] < threshold:\n            return True\n    return False
HumanEval/1,27,strong_ctx5,strong_ctx5,0,10619,369, priority, for," temp = """"\n    open_paren = 0\n   "
HumanEval/1,47,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0,310,286,           ,       ," char == ""("":\n            open_paren += 1\n"
HumanEval/1,48,det_ctx5,det_ctx5,0,1290,4409, right, elif," == ""("":\n            open_paren += 1\n       "
HumanEval/1,61,det_ctx4,det_ctx4,0,262,286,   ,       ," char == "")"":\n            open_paren -= 1\n"
HumanEval/1,62,det_ctx4,det_ctx4,0,1290,2730, right, temp," == "")"":\n            open_paren -= 1\n       "
HumanEval/1,75,syntax_indent,syntax_indent|det_ctx5,1,470,1102,            return,            result, += char\n        if open_paren == 0:\n
HumanEval/1,84,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0,310,262,           ,   ," 0:\n            result.append(temp)\n            temp = """"\n"
HumanEval/1,100,strong_ctx4,strong_ctx4,0,198,271,\n,\n\n,"if __name__ == ""__main__"":\n    import doctest"
HumanEval/1,102,syntax_class_next_method,syntax_class_next_method,0,707,653, def, do,"name__ == ""__main__"":\n    import doctest\n\n   "
HumanEval/1,111,det_ctx8,det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,0,198,271,\ndoctest.testmod(),\n\ndoctest.testmod(),ctest\n\n    doctest.testmod()import doctest
HumanEval/1,113,syntax_class_next_method,syntax_class_next_method,0,707,653, def, do,    doctest.testmod()import doctest\n\n   
HumanEval/1,122,det_ctx8,det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,0,198,271,\ndoctest.testmod,\n\ndoctest.testmod,ctest\n\n    doctest.testmod()import doctest
HumanEval/1,124,syntax_class_next_method,syntax_class_next_method,0,707,653, def, do,    doctest.testmod()import doctest\n\n   
HumanEval/2,27,strong_ctx8,strong_ctx8|det_ctx8|det_ctx8,0,474,33975,import doctest,Human mathctest,    import doctest\n    doctest.testmod()
HumanEval/2,38,syntax_indent,syntax_indent,0,286,16,       ,1,Human: Rewrite the code to meet the following requirements:\n
HumanEval/3,8,strong_ctx6,strong_ctx6|syntax_for_in,0,1161,1179, char in, op in, function body only.\n    balance = 0\n    for
HumanEval/3,21,det_ctx4,det_ctx4,0,481,220, -, , in operations:\n        balance += op\n        if balance <
HumanEval/3,31,syntax_return_terminal,syntax_return_terminal,0,198,1406,\n,\n\n\n, balance < 0:\n            return True\n    return False
HumanEval/4,32,det_ctx5,det_ctx5|syntax_class_next_method,0,262,2982,    def,do do, in numbers) / len(numbers)import doctest\n\n
HumanEval/4,42,det_ctx8,det_ctx8|syntax_class_next_method,0,262,2982,    def,do #,ctest\n\ndoctest.testmod()import doctest\n\n
HumanEval/4,52,det_ctx8,det_ctx8|syntax_class_next_method,0,262,2982,    def,do do,ctest\n\ndoctest.testmod()import doctest\n\n
HumanEval/4,62,det_ctx7,det_ctx7|syntax_class_next_method,0,262,2982,    def,do do,ctest\n\ndoctest.testmod()import doctest\n\n
HumanEval/5,7,syntax_for_in,syntax_for_in|det_ctx4|syntax_range_paren,2,7,6901, in range(, in range(len, the function body only.\n    result = []\n    for i
HumanEval/5,32,strong_ctx4,strong_ctx4,0,9758,55927,(temp,(del, i != len(numbers) - 1:\n            result.append
HumanEval/5,53,syntax_class_next_method,syntax_class_next_method,0,707,653, def, do,"name__ == ""__main__"":\n    import doctest\n\n   "
HumanEval/5,115,syntax_class_next_method,syntax_class_next_method,0,707,653, def, do,"name__ == ""__main__"":\n    import doctest\n\n   "
HumanEval/5,120,det_ctx8,det_ctx8|det_ctx8|det_ctx8|det_ctx8,0,151643,220,import doctest, import doctest,"__"":\n    import doctest\n\n    doctest.testmod()"
HumanEval/6,6,strong_ctx6,strong_ctx6|syntax_for_in,0,600,1874, i in, group in, Complete the function body only.\n    result = []\n    for
HumanEval/6,35,det_ctx4,det_ctx4|det_ctx5|det_ctx5|det_ctx7|det_ctx8|syntax_indent,0,537,621, not in node.children:\n               , == in (':\n:\n               , 0\n        for char in group:\n            if char
HumanEval/6,56,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0,394,310,               ,           ,"\n                max_depth = max(max_depth, current_depth)\n"
HumanEval/6,69,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0,394,286,               ,       , elif char == ')':\n                current_depth -= 1\n
HumanEval/6,70,strong_ctx5,strong_ctx5,0,2730,1102, temp, result, char == ')':\n                current_depth -= 1\n       
HumanEval/6,82,strong_ctx8,strong_ctx8|syntax_name_eq|det_ctx8|det_ctx8|det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|syntax_class_next_method,2,13265,12112,"__ == ""__main__"":\n    import doctest\n\n    def","__ == '__main__"":\n    import doctest\n\n    do", result.append(max_depth)\n    return result\n\n\nif __name
HumanEval/8,14,strong_ctx5,strong_ctx5|syntax_for_in,0,716,1629, _ in, num in, = 0\n    product = 1\n    for
HumanEval/8,15,syntax_for_in,syntax_for_in|syntax_for_range|syntax_range_paren,1,2088,5109, in range(, in numbers(len, 0\n    product = 1\n    for num
HumanEval/9,10,syntax_range_paren,syntax_range_paren,0,7,6901,(,(len, only.\n    max_list = []\n    for i in range
HumanEval/9,49,strong_ctx4,strong_ctx4,0,286,310,       ,           ,_list[i-1]:\n                max_list.append(numbers[i])\n
HumanEval/10,24,syntax_range_paren,syntax_range_paren|det_ctx7|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,0,7,6901,"(2, int(n ** 0.5) +","(len1, len(len/ 0.5) +",indrome(string):\n        return string\n    for i in range
HumanEval/10,47,syntax_dedent_after_terminal,syntax_dedent_after_terminal,0,286,262,       ,   ,]):\n            return string + string[:i][::-1]\n
HumanEval/10,83,strong_ctx4,strong_ctx4,0,1141,3609,(s,(string,.testmod()import doctest\n\ndef is_palindrome
