task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,1,1,0,1,0,5109,5109,none,,,,3007 198 262 3190 2 18608 279 729 2487 1172 624 262," True\n    """"""\n# Complete the function body only.\n   ",,,,, numbers,,no_pattern_fired,0,0,0,2.8299997211433947e-05,0.026843599996936973,8.710000111022964e-05
HumanEval/0,1,,spec_eval,2,1,0,1,0,10614,10614,none,,,,198 262 3190 2 18608 279 729 2487 1172 624 262 5109,"\n    """"""\n# Complete the function body only.\n    numbers",,,,,.sort,,no_pattern_fired,0,0,0,6.829999620094895e-05,0.026111799998034257,7.37999944249168e-05
HumanEval/0,1,,spec_eval,3,1,0,1,0,741,741,none,,,,262 3190 2 18608 279 729 2487 1172 624 262 5109 10614,"    """"""\n# Complete the function body only.\n    numbers.sort",,,,,()\n,,no_pattern_fired,0,0,0,6.989999383222312e-05,0.025245600001653656,8.479999814881012e-05
HumanEval/0,1,,spec_eval,4,1,0,1,0,262,262,none,,,,3190 2 18608 279 729 2487 1172 624 262 5109 10614 741," """"""\n# Complete the function body only.\n    numbers.sort()\n",,,,,   ,,no_pattern_fired,0,0,0,8.05000017862767e-05,0.0252835999999661,6.589999975403771e-05
HumanEval/0,1,,spec_eval,5,1,0,1,0,369,369,none,,,,2 18608 279 729 2487 1172 624 262 5109 10614 741 262,# Complete the function body only.\n    numbers.sort()\n   ,,,,, for,,no_pattern_fired,0,0,0,4.669999907491729e-05,0.025079699997149874,8.05000017862767e-05
HumanEval/0,1,,spec_eval,6,1,0,1,0,600,600,none,,,,18608 279 729 2487 1172 624 262 5109 10614 741 262 369, Complete the function body only.\n    numbers.sort()\n    for,,,,, i,,no_pattern_fired,0,0,0,6.880000000819564e-05,0.02530269999988377,0.0002049999966402538
HumanEval/0,1,,spec_eval,7,1,1,2,1,2088,2088,syntax_for_in,syntax_for_in,0.990,999,279 729 2487 1172 624 262 5109 10614 741 262 369 600, the function body only.\n    numbers.sort()\n    for i,304, in,304, in, range,,draft_accepted,0,0,1,0.00015520000306423753,0.031902100003208034,0.0001657999964663759
HumanEval/0,1,,spec_eval,9,1,1,1,0,6901,6901,syntax_range_paren,syntax_range_paren,1.000,999,2487 1172 624 262 5109 10614 741 262 369 600 304 2088, body only.\n    numbers.sort()\n    for i in range,7,(,6901,(len,(len,0,draft_token_mismatch,1,0,0,0.00011619999713730067,0.027817100002721418,0.00012229999992996454
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,2,0,0,9.109999518841505e-05,0.02531730000191601,0.00012720000086119398
HumanEval/0,1,,spec_eval,11,1,0,1,0,8,8,none,,,,624 262 5109 10614 741 262 369 600 304 2088 6901 47207,.\n    numbers.sort()\n    for i in range(len(numbers,,,,,),,no_pattern_fired,2,0,0,7.410000398522243e-05,0.02644020000298042,6.900000153109431e-05
HumanEval/0,1,,spec_eval,12,1,0,1,0,481,481,none,,,,262 5109 10614 741 262 369 600 304 2088 6901 47207 8,    numbers.sort()\n    for i in range(len(numbers),,,,, -,,no_pattern_fired,2,0,0,7.599999662488699e-05,0.02791599999909522,0.00017659999866737053
HumanEval/0,1,,spec_eval,13,1,1,1,0,220,220,syntax_minus_one,syntax_minus_one,0.930,999,5109 10614 741 262 369 600 304 2088 6901 47207 8 481, numbers.sort()\n    for i in range(len(numbers) -,16,1,220, , ,0,draft_token_mismatch,3,0,0,0.00022480000188807026,0.02789399999892339,0.0001847000021371059
