task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,1,1,0,1,0,5109,5109,none,,,,3007 198 262 3190 2 18608 279 729 2487 1172 624 262," True\n    """"""\n# Complete the function body only.\n   ",,,,, numbers,,no_pattern_fired,0,0,0,3.650000144261867e-05,0.026533099997323006,8.919999527279288e-05
HumanEval/0,1,,spec_eval,2,1,0,1,0,10614,10614,none,,,,198 262 3190 2 18608 279 729 2487 1172 624 262 5109,"\n    """"""\n# Complete the function body only.\n    numbers",,,,,.sort,,no_pattern_fired,0,0,0,7.300000288523734e-05,0.02642760000162525,8.140000136336312e-05
HumanEval/0,1,,spec_eval,3,1,0,1,0,741,741,none,,,,262 3190 2 18608 279 729 2487 1172 624 262 5109 10614,"    """"""\n# Complete the function body only.\n    numbers.sort",,,,,()\n,,no_pattern_fired,0,0,0,9.139999747276306e-05,0.025016999999934342,0.00010059999476652592
HumanEval/0,1,,spec_eval,4,1,0,1,0,262,262,none,,,,3190 2 18608 279 729 2487 1172 624 262 5109 10614 741," """"""\n# Complete the function body only.\n    numbers.sort()\n",,,,,   ,,no_pattern_fired,0,0,0,7.609999738633633e-05,0.02493040000263136,7.94000006862916e-05
HumanEval/0,1,,spec_eval,5,1,0,1,0,369,369,none,,,,2 18608 279 729 2487 1172 624 262 5109 10614 741 262,# Complete the function body only.\n    numbers.sort()\n   ,,,,, for,,no_pattern_fired,0,0,0,6.0500002291519195e-05,0.025352199998451397,7.580000237794593e-05
HumanEval/0,1,,spec_eval,6,1,0,1,0,600,600,none,,,,18608 279 729 2487 1172 624 262 5109 10614 741 262 369, Complete the function body only.\n    numbers.sort()\n    for,,,,, i,,no_pattern_fired,0,0,0,6.809999467805028e-05,0.0250711999979103,0.00010250000195810571
HumanEval/0,1,,spec_eval,7,1,1,2,1,2088,2088,syntax_for_in,syntax_for_in,0.990,999,279 729 2487 1172 624 262 5109 10614 741 262 369 600, the function body only.\n    numbers.sort()\n    for i,304, in,304, in, range,,draft_accepted,0,0,1,0.00011159999849041924,0.030668100000184495,0.00013519999629352242
HumanEval/0,1,,spec_eval,9,1,1,1,0,6901,6901,syntax_range_paren,syntax_range_paren,1.000,999,2487 1172 624 262 5109 10614 741 262 369 600 304 2088, body only.\n    numbers.sort()\n    for i in range,7,(,6901,(len,(len,0,draft_token_mismatch,1,0,0,0.00010620000102790073,0.027911600001971237,0.00015410000196425244
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,2,0,0,9.390000195708126e-05,0.025081300002057105,0.00016069999401224777
HumanEval/0,1,,spec_eval,11,1,0,1,0,8,8,none,,,,624 262 5109 10614 741 262 369 600 304 2088 6901 47207,.\n    numbers.sort()\n    for i in range(len(numbers,,,,,),,no_pattern_fired,2,0,0,0.00021640000340994447,0.02758239999820944,0.00011030000314349309
HumanEval/0,1,,spec_eval,12,1,0,1,0,481,481,none,,,,262 5109 10614 741 262 369 600 304 2088 6901 47207 8,    numbers.sort()\n    for i in range(len(numbers),,,,, -,,no_pattern_fired,2,0,0,0.00016260000120382756,0.029748300003120676,7.12000037310645e-05
HumanEval/0,1,,spec_eval,13,1,1,1,0,220,220,syntax_minus_one,syntax_minus_one,0.930,999,5109 10614 741 262 369 600 304 2088 6901 47207 8 481, numbers.sort()\n    for i in range(len(numbers) -,16,1,220, , ,0,draft_token_mismatch,3,0,0,0.00010769999789772555,0.02764059999753954,0.00011729999823728576
HumanEval/0,1,,spec_eval,14,1,0,1,0,16,16,none,,,,10614 741 262 369 600 304 2088 6901 47207 8 481 220,.sort()\n    for i in range(len(numbers) - ,,,,,1,,no_pattern_fired,3,0,0,6.169999687699601e-05,0.026361999996879604,8.800000068731606e-05
HumanEval/0,1,,spec_eval,15,1,0,1,0,982,982,none,,,,741 262 369 600 304 2088 6901 47207 8 481 220 16,()\n    for i in range(len(numbers) - 1,,,,,):\n,,no_pattern_fired,3,0,0,6.290000601438805e-05,0.025969900001655333,8.05000017862767e-05
HumanEval/0,1,,spec_eval,16,1,1,2,1,421,421,syntax_indent,syntax_indent,0.980,999,262 369 600 304 2088 6901 47207 8 481 220 16 982,    for i in range(len(numbers) - 1):\n,286,       ,286,       , if,,draft_accepted,3,0,1,0.0007469999982276931,0.027705500004231,0.00011269999959040433
HumanEval/0,1,,spec_eval,18,1,0,1,0,5109,5109,none,,,,600 304 2088 6901 47207 8 481 220 16 982 286 421, i in range(len(numbers) - 1):\n        if,,,,, numbers,,no_pattern_fired,3,0,0,5.869999586138874e-05,0.02634750000288477,7.720000576227903e-05
HumanEval/0,1,,spec_eval,19,1,0,1,0,989,989,none,,,,304 2088 6901 47207 8 481 220 16 982 286 421 5109, in range(len(numbers) - 1):\n        if numbers,,,,,[i,,no_pattern_fired,3,0,0,4.960000660503283e-05,0.027200500000617467,7.469999400200322e-05
HumanEval/0,1,,spec_eval,20,1,0,1,0,488,488,none,,,,2088 6901 47207 8 481 220 16 982 286 421 5109 989, range(len(numbers) - 1):\n        if numbers[i,,,,, +,,no_pattern_fired,3,0,0,7.519999780924991e-05,0.02557080000406131,8.130000060191378e-05
HumanEval/0,1,,spec_eval,21,1,0,1,0,220,220,none,,,,6901 47207 8 481 220 16 982 286 421 5109 989 488,(len(numbers) - 1):\n        if numbers[i +,,,,, ,,no_pattern_fired,3,0,0,7.059999916236848e-05,0.02511650000087684,0.00011349999840604141
HumanEval/0,1,,spec_eval,22,1,0,1,0,16,16,none,,,,47207 8 481 220 16 982 286 421 5109 989 488 220,(numbers) - 1):\n        if numbers[i + ,,,,,1,,no_pattern_fired,3,0,0,7.849999383324757e-05,0.02595679999649292,0.00011899999663000926
HumanEval/0,1,,spec_eval,23,1,0,1,0,60,60,none,,,,8 481 220 16 982 286 421 5109 989 488 220 16,) - 1):\n        if numbers[i + 1,,,,,],,no_pattern_fired,3,0,0,8.130000060191378e-05,0.025745800005097408,9.48999950196594e-05
HumanEval/0,1,,spec_eval,24,1,0,1,0,481,481,none,,,,481 220 16 982 286 421 5109 989 488 220 16 60, - 1):\n        if numbers[i + 1],,,,, -,,no_pattern_fired,3,0,0,9.549999958835542e-05,0.02545309999550227,7.100000220816582e-05
HumanEval/0,1,,spec_eval,25,1,1,1,0,5109,5109,syntax_minus_one,syntax_minus_one,0.930,999,220 16 982 286 421 5109 989 488 220 16 60 481, 1):\n        if numbers[i + 1] -,16,1,5109, numbers, numbers,0,draft_token_mismatch,4,0,0,0.00011989999620709568,0.027271599996311124,0.00016590000450378284
HumanEval/0,1,,spec_eval,26,1,0,1,0,989,989,none,,,,16 982 286 421 5109 989 488 220 16 60 481 5109,1):\n        if numbers[i + 1] - numbers,,,,,[i,,no_pattern_fired,4,0,0,6.929999653948471e-05,0.026539899998169858,9.020000288728625e-05
HumanEval/0,1,,spec_eval,27,1,0,1,0,60,60,none,,,,982 286 421 5109 989 488 220 16 60 481 5109 989,):\n        if numbers[i + 1] - numbers[i,,,,,],,no_pattern_fired,4,0,0,7.000000186963007e-05,0.026157899999816436,7.219999679364264e-05
HumanEval/0,1,,spec_eval,28,1,0,1,0,366,366,none,,,,286 421 5109 989 488 220 16 60 481 5109 989 60,        if numbers[i + 1] - numbers[i],,,,, <,,no_pattern_fired,4,0,0,7.829999958630651e-05,0.024924400000600144,6.730000313837081e-05
HumanEval/0,1,,spec_eval,29,1,0,1,0,12171,12171,none,,,,421 5109 989 488 220 16 60 481 5109 989 60 366, if numbers[i + 1] - numbers[i] <,,,,, threshold,,no_pattern_fired,4,0,0,7.900000491645187e-05,0.025043000001460314,9.059999865712598e-05
HumanEval/0,1,,spec_eval,30,1,0,1,0,510,510,none,,,,5109 989 488 220 16 60 481 5109 989 60 366 12171, numbers[i + 1] - numbers[i] < threshold,,,,,:\n,,no_pattern_fired,4,0,0,7.200000254670158e-05,0.02526370000123279,8.009999874047935e-05
HumanEval/0,1,,spec_eval,31,1,1,2,1,470,470,syntax_indent,syntax_indent,0.980,999,989 488 220 16 60 481 5109 989 60 366 12171 510,[i + 1] - numbers[i] < threshold:\n,310,           ,310,           , return,,draft_accepted,4,0,1,0.0001190999973914586,0.027101100000436418,0.00015780000103404745
HumanEval/0,1,,spec_eval,33,1,0,1,0,3007,3007,none,,,,220 16 60 481 5109 989 60 366 12171 510 310 470, 1] - numbers[i] < threshold:\n            return,,,,, True,,no_pattern_fired,4,0,0,6.889999349368736e-05,0.026642799995897803,7.449999975506216e-05
HumanEval/0,1,,spec_eval,34,1,2,2,1,262,262,syntax_return_terminal,syntax_return_terminal|syntax_dedent_after_terminal,1.000|0.940,999|999,16 60 481 5109 989 60 366 12171 510 310 470 3007,1] - numbers[i] < threshold:\n            return True,198 286,\n       ,198 262,\n   ,   ,1,draft_token_mismatch,5,0,1,0.00010350000229664147,0.032189900004595984,0.00018419999832985923
HumanEval/0,1,,spec_eval,36,1,0,1,0,470,470,none,,,,481 5109 989 60 366 12171 510 310 470 3007 198 262, - numbers[i] < threshold:\n            return True\n   ,,,,, return,,no_pattern_fired,5,0,0,5.9600002714432776e-05,0.026703399998950772,0.00011100000119768083
HumanEval/0,1,,spec_eval,37,1,0,1,0,3557,3557,none,,,,5109 989 60 366 12171 510 310 470 3007 198 262 470, numbers[i] < threshold:\n            return True\n    return,,,,, False,,no_pattern_fired,5,0,0,7.750000077066943e-05,0.02660979999927804,6.430000212276354e-05
HumanEval/0,1,,spec_eval,38,1,1,1,0,1406,1406,syntax_return_terminal,syntax_return_terminal,1.000,999,989 60 366 12171 510 310 470 3007 198 262 470 3557,[i] < threshold:\n            return True\n    return False,198,\n,1406,\n\n\n,\n\n\n,0,draft_token_mismatch,6,0,0,8.809999417280778e-05,0.026903400001174305,0.00011860000086016953
HumanEval/0,1,,spec_eval,39,1,0,1,0,333,333,none,,,,60 366 12171 510 310 470 3007 198 262 470 3557 1406,] < threshold:\n            return True\n    return False\n\n\n,,,,,if,,no_pattern_fired,6,0,0,7.090000144671649e-05,0.026932100001431536,6.72999958624132e-05
HumanEval/0,1,,spec_eval,40,1,0,1,0,1304,1304,none,,,,366 12171 510 310 470 3007 198 262 470 3557 1406 333, < threshold:\n            return True\n    return False\n\n\nif,,,,, __,,no_pattern_fired,6,0,0,6.520000169984996e-05,0.025855700005195104,7.6299998909235e-05
HumanEval/0,1,,spec_eval,41,1,0,1,0,606,606,none,,,,12171 510 310 470 3007 198 262 470 3557 1406 333 1304, threshold:\n            return True\n    return False\n\n\nif __,,,,,name,,no_pattern_fired,6,0,0,7.879999611759558e-05,0.025108800000452902,8.269999671028927e-05
HumanEval/0,1,,spec_eval,42,1,0,1,0,563,563,none,,,,510 310 470 3007 198 262 470 3557 1406 333 1304 606,:\n            return True\n    return False\n\n\nif __name,,,,,__,,no_pattern_fired,6,0,0,8.750000415602699e-05,0.02536780000082217,6.429999484680593e-05
HumanEval/0,1,,spec_eval,43,1,1,2,1,12112,12112,syntax_name_eq,syntax_name_eq,1.000,999,310 470 3007 198 262 470 3557 1406 333 1304 606 563,            return True\n    return False\n\n\nif __name__,621, ==,621, ==, '__,,draft_accepted,6,0,1,0.0001218999968841672,0.0277464000027976,0.00015870000061113387
HumanEval/0,1,,spec_eval,45,1,0,1,0,3817,3817,none,,,,3007 198 262 470 3557 1406 333 1304 606 563 621 12112, True\n    return False\n\n\nif __name__ == '__,,,,,main,,no_pattern_fired,6,0,0,7.829999958630651e-05,0.026379499999166,0.00010889999975915998
HumanEval/0,1,,spec_eval,46,1,0,1,0,16179,16179,none,,,,198 262 470 3557 1406 333 1304 606 563 621 12112 3817,\n    return False\n\n\nif __name__ == '__main,,,,,__':\n,,no_pattern_fired,6,0,0,7.90999984019436e-05,0.02599490000284277,7.88000033935532e-05
