task_id,entry_point,output_tokens,proposed_draft_tokens,accepted_draft_tokens,rejected_draft_tokens_est,target_model_tokens_est,proposed_pct_of_output,accepted_pct_of_output,target_model_pct_of_output,accept_rate_of_proposed,draft_pass_rows,no_rule_rows,reject_events,identical_to_greedy
HumanEval/0,has_close_elements,128,12,6,6,122,9.38,4.69,95.31,50.0,11,110,6,True
HumanEval/1,separate_paren_groups,128,37,15,22,113,28.91,11.72,88.28,40.54,26,86,13,True
HumanEval/2,truncate_number,128,12,8,4,120,9.38,6.25,93.75,66.67,10,109,2,False
HumanEval/3,below_zero,128,83,79,4,49,64.84,61.72,38.28,95.18,29,19,3,True
HumanEval/4,mean_absolute_deviation,128,21,13,8,115,16.41,10.16,89.84,61.9,11,103,4,False
HumanEval/5,intersperse,128,55,47,8,81,42.97,36.72,63.28,85.45,34,46,5,True
HumanEval/6,parse_nested_parens,128,71,50,21,78,55.47,39.06,60.94,70.42,25,52,6,True
HumanEval/7,filter_by_substring,128,77,77,0,51,60.16,60.16,39.84,100.0,22,28,0,True
HumanEval/8,sum_product,128,81,77,4,51,63.28,60.16,39.84,95.06,21,29,2,True
HumanEval/9,rolling_max,128,16,14,2,114,12.5,10.94,89.06,87.5,13,100,2,True
HumanEval/10,make_palindrome,128,43,29,14,99,33.59,22.66,77.34,67.44,18,80,3,True
HumanEval/11,string_xor,128,1,1,0,127,0.78,0.78,99.22,100.0,1,125,0,True
HumanEval/12,longest,128,71,70,1,58,55.47,54.69,45.31,98.59,28,30,1,False
HumanEval/13,greatest_common_divisor,128,14,10,4,118,10.94,7.81,92.19,71.43,14,104,4,True
HumanEval/14,all_prefixes,128,88,85,3,43,68.75,66.41,33.59,96.59,26,17,2,True
HumanEval/15,string_sequence,128,21,15,6,113,16.41,11.72,88.28,71.43,21,92,6,True
HumanEval/16,count_distinct_characters,128,16,12,4,116,12.5,9.38,90.62,75.0,11,105,4,True
HumanEval/17,parse_music,128,43,32,11,96,33.59,25.0,75.0,74.42,18,78,3,False
HumanEval/18,how_many_times,128,38,22,16,106,29.69,17.19,82.81,57.89,12,94,5,False
HumanEval/19,sort_numbers,128,12,9,3,119,9.38,7.03,92.97,75.0,7,112,3,True
