prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,pattern_s,decode_s,verify_s
implement linked list in python only code no comments,spec_eval,1,1,0,1,0,73594,73594,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198,implement linked list in python only code no comments\n,,,,,```,,no_pattern_fired,0,0,2.4000000848900527e-05,0.03142659999866737,8.309999975608662e-05
implement linked list in python only code no comments,spec_eval,2,1,0,1,0,12669,12669,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198 73594,implement linked list in python only code no comments\n```,,,,,python,,no_pattern_fired,0,0,3.440000000409782e-05,0.031304000003729016,7.059999916236848e-05
implement linked list in python only code no comments,spec_eval,3,1,0,1,0,198,198,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198 73594 12669,implement linked list in python only code no comments\n```python,,,,,\n,,no_pattern_fired,0,0,9.54000061028637e-05,0.03123060000507394,0.00011250000534346327
implement linked list in python only code no comments,spec_eval,4,1,1,1,0,1040,1040,det_ctx4,det_ctx4,1.000,8,10592 1140 304 10135 1172 2038 902 6042 198 73594 12669 198, linked list in python only code no comments\n```python\n,750,def,1040,class,class,0,draft_token_mismatch,1,0,0.00022480000188807026,0.04729199999565026,0.0003490999952191487
implement linked list in python only code no comments,spec_eval,5,1,0,1,0,6018,6018,none,,,,1140 304 10135 1172 2038 902 6042 198 73594 12669 198 1040, list in python only code no comments\n```python\nclass,,,,, Node,,no_pattern_fired,1,0,4.999999509891495e-05,0.03155680000054417,0.00017640000442042947
implement linked list in python only code no comments,spec_eval,5,1,6,7,6,721,721,syntax_class_colon,syntax_class_colon|syntax_indent|det_ctx7|det_ctx8|syntax_dunder_init|syntax_dunder_paren,1.000|0.980|1.000|1.000|1.000|1.000,999|999|4|4|999|999,304 10135 1172 2038 902 6042 198 73594 12669 198 1040 6018, in python only code no comments\n```python\nclass Node,510 262 707 1304 2327 3804,:\n    def __init__(,510 262 707 1304 2327 3804,:\n    def __init__(,self,,draft_accepted,1,0,0.00018139999883715063,0.1057306000002427,0.0009770999968168326
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,821,821,det_ctx8,det_ctx8,1.000,5,73594 12669 198 1040 6018 510 262 707 1304 2327 3804 721,```python\nclass Node:\n    def __init__(self,11,",",11,",", data,,draft_accepted,1,0,8.479999814881012e-05,0.03660160000436008,0.0001905999961309135
implement linked list in python only code no comments,spec_eval,6,1,7,8,7,286,286,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|2|2,198 1040 6018 510 262 707 1304 2327 3804 721 11 821,"\nclass Node:\n    def __init__(self, data",982 286 656 2196 284 821 198,):\n        self.data = data\n,982 286 656 2196 284 821 198,):\n        self.data = data\n,       ,,draft_accepted,1,0,0.0003518999947118573,0.13877209999918705,0.0006883999958517961
implement linked list in python only code no comments,spec_eval,4,1,8,6,5,1040,1040,det_ctx8,det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|syntax_class_method_indent|det_ctx4|det_ctx5,1.000|1.000|1.000|1.000|1.000|0.990|1.000|1.000,2|2|2|2|2|999|3|3,3804 721 11 821 982 286 656 2196 284 821 198 286,"__(self, data):\n        self.data = data\n       ",656 4529 284 2240 271 262 707 8737, self.next = None\n\n    def append,656 4529 284 2240 271 1040 707 1304, self.next = None\n\nclass def __,class,5,draft_token_mismatch,2,0,0.00028700000257231295,0.058370700004161336,0.0012038999993819743
implement linked list in python only code no comments,spec_eval,29,1,0,1,0,22917,22917,none,,,,656 2196 284 821 198 286 656 4529 284 2240 271 1040, self.data = data\n        self.next = None\n\nclass,,,,, LinkedList,,no_pattern_fired,2,0,5.999999848427251e-05,0.03927580000163289,0.00015969999367371202
