tier,rows,proposed_tokens,accepted_tokens,rejected_tokens_est,reject_events,accept_rate_pct,pattern_s,decode_s,verify_s
det_ctx8,93,331,307,24,9,92.75,0.013845,3.564561,0.026782
strong_ctx8,56,124,105,19,8,84.68,0.006045,1.9897,0.010768
syntax_pluseq_space,6,72,3,69,6,4.17,0.001317,0.224062,0.003857
syntax_indent,49,61,59,2,2,96.72,0.006212,1.430676,0.007476
det_ctx7,6,54,52,2,1,96.3,0.001321,0.234872,0.0028
det_ctx5,7,39,27,12,3,69.23,0.001302,0.277651,0.002504
strong_ctx4,29,32,22,10,10,68.75,0.002902,0.859101,0.004435
det_ctx4,20,30,19,11,5,63.33,0.002468,0.606804,0.003061
syntax_for_in,11,27,12,15,8,44.44,0.001394,0.374064,0.002283
strong_ctx6,19,21,13,8,6,61.9,0.001747,0.547186,0.002684
syntax_range_paren,3,14,0,14,3,0.0,0.000587,0.103779,0.001009
syntax_same_indent_simple_assign,14,14,8,6,6,57.14,0.001492,0.392756,0.001861
strong_ctx5,8,10,5,5,4,50.0,0.000816,0.236283,0.001123
det_ctx6,3,9,9,0,0,100.0,0.000376,0.089557,0.000615
syntax_name_eq,8,8,8,0,0,100.0,0.000732,0.22165,0.001177
syntax_minus_one,7,7,5,2,2,71.43,0.000768,0.216725,0.00109
syntax_return_terminal,5,7,4,3,3,57.14,0.000555,0.143864,0.000772
syntax_block_colon,3,6,6,0,0,100.0,0.000381,0.119713,0.000878
syntax_class_next_method,5,5,0,5,5,0.0,0.000425,0.13128,0.000641
strong_ctx7,4,5,5,0,0,100.0,0.00037,0.117017,0.000584
syntax_dedent_after_terminal,3,3,2,1,1,66.67,0.000256,0.093747,0.000514
syntax_return_len_self,2,2,0,2,2,0.0,0.000205,0.061183,0.000255
syntax_statement_end,1,2,1,1,1,50.0,0.00014,0.037663,0.000169
syntax_code_fence_def,1,1,1,0,0,100.0,0.000191,0.030629,0.000121
none,1512,0,0,0,0,0.0,0.125389,40.125031,0.126134
