prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,decode_s,verify_s
implement linked list in python only code no comments,spec_eval,1,1,0,1,0,73594,73594,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198,implement linked list in python only code no comments\n,,,,,```,,no_pattern_fired,0,0,0.030821299995295703,7.6299998909235e-05
implement linked list in python only code no comments,spec_eval,2,1,0,1,0,12669,12669,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198 73594,implement linked list in python only code no comments\n```,,,,,python,,no_pattern_fired,0,0,0.030610100002377294,7.040000491542742e-05
implement linked list in python only code no comments,spec_eval,3,1,0,1,0,198,198,none,,,,94474 10592 1140 304 10135 1172 2038 902 6042 198 73594 12669,implement linked list in python only code no comments\n```python,,,,,\n,,no_pattern_fired,0,0,0.02954219999810448,0.00012430000060703605
implement linked list in python only code no comments,spec_eval,4,1,1,1,0,1040,1040,det_ctx4,det_ctx4,1.000,8,10592 1140 304 10135 1172 2038 902 6042 198 73594 12669 198, linked list in python only code no comments\n```python\n,750,def,1040,class,class,0,draft_token_mismatch,1,0,0.035560299998905975,0.0001570999957039021
implement linked list in python only code no comments,spec_eval,5,1,0,1,0,6018,6018,none,,,,1140 304 10135 1172 2038 902 6042 198 73594 12669 198 1040, list in python only code no comments\n```python\nclass,,,,, Node,,no_pattern_fired,1,0,0.030820600004517473,7.620000542374328e-05
implement linked list in python only code no comments,spec_eval,5,1,6,7,6,721,721,syntax_class_colon,syntax_class_colon|syntax_indent|det_ctx7|det_ctx8|syntax_dunder_init|syntax_dunder_paren,1.000|0.980|1.000|1.000|1.000|1.000,999|999|4|4|999|999,304 10135 1172 2038 902 6042 198 73594 12669 198 1040 6018, in python only code no comments\n```python\nclass Node,510 262 707 1304 2327 3804,:\n    def __init__(,510 262 707 1304 2327 3804,:\n    def __init__(,self,,draft_accepted,1,0,0.0762929000047734,0.0006401000064215623
implement linked list in python only code no comments,spec_eval,0,1,1,2,1,821,821,det_ctx8,det_ctx8,1.000,5,73594 12669 198 1040 6018 510 262 707 1304 2327 3804 721,```python\nclass Node:\n    def __init__(self,11,",",11,",", data,,draft_accepted,1,0,0.032507299998542294,0.00012579999747686088
implement linked list in python only code no comments,spec_eval,6,1,7,8,7,286,286,det_ctx8,det_ctx8|syntax_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8,1.000|0.980|1.000|1.000|1.000|1.000|1.000,2|999|2|2|2|2|2,198 1040 6018 510 262 707 1304 2327 3804 721 11 821,"\nclass Node:\n    def __init__(self, data",982 286 656 2196 284 821 198,):\n        self.data = data\n,982 286 656 2196 284 821 198,):\n        self.data = data\n,       ,,draft_accepted,1,0,0.0888660999989952,0.00036080000427318737
implement linked list in python only code no comments,spec_eval,4,1,8,6,5,1040,1040,det_ctx8,det_ctx8|det_ctx8|det_ctx8|det_ctx8|det_ctx8|syntax_class_method_indent|det_ctx4|det_ctx5,1.000|1.000|1.000|1.000|1.000|0.990|1.000|1.000,2|2|2|2|2|999|3|3,3804 721 11 821 982 286 656 2196 284 821 198 286,"__(self, data):\n        self.data = data\n       ",656 4529 284 2240 271 262 707 8737, self.next = None\n\n    def append,656 4529 284 2240 271 1040 707 1304, self.next = None\n\nclass def __,class,5,draft_token_mismatch,2,0,0.04580810000334168,0.0003884999969159253
implement linked list in python only code no comments,spec_eval,29,1,0,1,0,22917,22917,none,,,,656 2196 284 821 198 286 656 4529 284 2240 271 1040, self.data = data\n        self.next = None\n\nclass,,,,, LinkedList,,no_pattern_fired,2,0,0.032325599997420795,8.140000136336312e-05
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,707,707,syntax_class_colon,syntax_class_colon|syntax_indent,1.000|0.980,999|999,2196 284 821 198 286 656 4529 284 2240 271 1040 22917,.data = data\n        self.next = None\n\nclass LinkedList,510 262,:\n   ,510 262,:\n   , def,,draft_accepted,2,0,0.042308299998694565,0.00016350000078091398
implement linked list in python only code no comments,spec_eval,33,1,0,1,0,1304,1304,none,,,,198 286 656 4529 284 2240 271 1040 22917 510 262 707,\n        self.next = None\n\nclass LinkedList:\n    def,,,,, __,,no_pattern_fired,2,0,0.032221599998592865,7.699999696342275e-05
implement linked list in python only code no comments,spec_eval,2,1,3,4,3,982,982,syntax_dunder_init,syntax_dunder_init|syntax_dunder_paren|syntax_dunder_self,1.000|1.000|1.000,999|999|999,286 656 4529 284 2240 271 1040 22917 510 262 707 1304,        self.next = None\n\nclass LinkedList:\n    def __,2327 3804 721,init__(self,2327 3804 721,init__(self,):\n,,draft_accepted,2,0,0.050892699997348245,0.0002461000040057115
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,16042,16042,syntax_indent,syntax_indent|det_ctx8,0.980|1.000,999|10,2240 271 1040 22917 510 262 707 1304 2327 3804 721 982, None\n\nclass LinkedList:\n    def __init__(self):\n,286 656,        self,286 656,        self,.head,,draft_accepted,2,0,0.039036800000758376,0.00018169999384554103
implement linked list in python only code no comments,spec_eval,1,1,2,3,2,271,271,det_ctx8,det_ctx8|det_ctx8,1.000|1.000,3|3,22917 510 262 707 1304 2327 3804 721 982 286 656 16042, LinkedList:\n    def __init__(self):\n        self.head,284 2240, = None,284 2240, = None,\n\n,,draft_accepted,2,0,0.04119679999712389,0.0001747999995131977
implement linked list in python only code no comments,spec_eval,4,1,5,6,5,821,821,syntax_class_method_indent,syntax_class_method_indent|det_ctx8|det_ctx8|det_ctx8|det_ctx8,0.990|1.000|1.000|1.000|1.000,999|2|2|2|2,707 1304 2327 3804 721 982 286 656 16042 284 2240 271, def __init__(self):\n        self.head = None\n\n,262 707 8737 1193 11,"    def append(self,",262 707 8737 1193 11,"    def append(self,", data,,draft_accepted,2,0,0.07111779999831924,0.00031859999580774456
