task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,1,1,0,1,0,5109,5109,none,,,,3007 198 262 3190 2 18608 279 729 2487 1172 624 262," True\n    """"""\n# Complete the function body only.\n   ",,,,, numbers,,no_pattern_fired,0,0,0,2.7999994927085936e-05,0.026620500000717584,7.249999907799065e-05
HumanEval/0,1,,spec_eval,2,1,0,1,0,10614,10614,none,,,,198 262 3190 2 18608 279 729 2487 1172 624 262 5109,"\n    """"""\n# Complete the function body only.\n    numbers",,,,,.sort,,no_pattern_fired,0,0,0,0.00019579999934649095,0.026757800005725585,7.12000037310645e-05
HumanEval/0,1,,spec_eval,3,1,0,1,0,741,741,none,,,,262 3190 2 18608 279 729 2487 1172 624 262 5109 10614,"    """"""\n# Complete the function body only.\n    numbers.sort",,,,,()\n,,no_pattern_fired,0,0,0,7.719999848632142e-05,0.025580200002877973,6.730000313837081e-05
HumanEval/0,1,,spec_eval,4,1,0,1,0,262,262,none,,,,3190 2 18608 279 729 2487 1172 624 262 5109 10614 741," """"""\n# Complete the function body only.\n    numbers.sort()\n",,,,,   ,,no_pattern_fired,0,0,0,6.130000110715628e-05,0.025386499997694045,8.459999662591144e-05
HumanEval/0,1,,spec_eval,5,1,0,1,0,369,369,none,,,,2 18608 279 729 2487 1172 624 262 5109 10614 741 262,# Complete the function body only.\n    numbers.sort()\n   ,,,,, for,,no_pattern_fired,0,0,0,5.01000031363219e-05,0.024968300000182353,7.470000127796084e-05
HumanEval/0,1,,spec_eval,6,1,0,1,0,600,600,none,,,,18608 279 729 2487 1172 624 262 5109 10614 741 262 369, Complete the function body only.\n    numbers.sort()\n    for,,,,, i,,no_pattern_fired,0,0,0,8.759999764151871e-05,0.025084300003072713,9.719999798107892e-05
HumanEval/0,1,,spec_eval,7,1,1,2,1,2088,2088,syntax_for_in,syntax_for_in,0.990,999,279 729 2487 1172 624 262 5109 10614 741 262 369 600, the function body only.\n    numbers.sort()\n    for i,304, in,304, in, range,,draft_accepted,0,0,1,0.0001097999993362464,0.04905290000169771,0.0001438999970559962
HumanEval/0,1,,spec_eval,9,1,0,1,0,6901,6901,none,,,,2487 1172 624 262 5109 10614 741 262 369 600 304 2088, body only.\n    numbers.sort()\n    for i in range,,,,,(len,,no_pattern_fired,0,0,0,5.610000516753644e-05,0.026861500002269167,6.760000542271882e-05
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,1,0,0,7.249999907799065e-05,0.02717780000239145,0.00012129999959142879
HumanEval/0,1,,spec_eval,11,1,0,1,0,8,8,none,,,,624 262 5109 10614 741 262 369 600 304 2088 6901 47207,.\n    numbers.sort()\n    for i in range(len(numbers,,,,,),,no_pattern_fired,1,0,0,6.859999848529696e-05,0.026280399993993342,6.850000499980524e-05
HumanEval/0,1,,spec_eval,12,1,0,1,0,481,481,none,,,,262 5109 10614 741 262 369 600 304 2088 6901 47207 8,    numbers.sort()\n    for i in range(len(numbers),,,,, -,,no_pattern_fired,1,0,0,7.820000610081479e-05,0.026043999998364598,6.639999628532678e-05
HumanEval/0,1,,spec_eval,13,1,1,1,0,220,220,syntax_minus_one,syntax_minus_one,0.930,999,5109 10614 741 262 369 600 304 2088 6901 47207 8 481, numbers.sort()\n    for i in range(len(numbers) -,16,1,220, , ,0,draft_token_mismatch,2,0,0,0.00013079999916953966,0.027019599998311605,0.0001266999970539473
HumanEval/0,1,,spec_eval,14,1,0,1,0,16,16,none,,,,10614 741 262 369 600 304 2088 6901 47207 8 481 220,.sort()\n    for i in range(len(numbers) - ,,,,,1,,no_pattern_fired,2,0,0,6.320000102277845e-05,0.026214599995000754,7.870000263210386e-05
HumanEval/0,1,,spec_eval,15,1,0,1,0,982,982,none,,,,741 262 369 600 304 2088 6901 47207 8 481 220 16,()\n    for i in range(len(numbers) - 1,,,,,):\n,,no_pattern_fired,2,0,0,6.98000003467314e-05,0.02593219999835128,7.919999916339293e-05
HumanEval/0,1,,spec_eval,16,1,1,2,1,421,421,syntax_indent,syntax_indent,0.980,999,262 369 600 304 2088 6901 47207 8 481 220 16 982,    for i in range(len(numbers) - 1):\n,286,       ,286,       , if,,draft_accepted,2,0,1,0.0007251999995787628,0.02731060000223806,0.00013480000052368268
HumanEval/0,1,,spec_eval,18,1,0,1,0,5109,5109,none,,,,600 304 2088 6901 47207 8 481 220 16 982 286 421, i in range(len(numbers) - 1):\n        if,,,,, numbers,,no_pattern_fired,2,0,0,6.440000288421288e-05,0.026577199998428114,8.410000009462237e-05
HumanEval/0,1,,spec_eval,19,1,0,1,0,989,989,none,,,,304 2088 6901 47207 8 481 220 16 982 286 421 5109, in range(len(numbers) - 1):\n        if numbers,,,,,[i,,no_pattern_fired,2,0,0,7.059999916236848e-05,0.026008200002252124,6.67000058456324e-05
HumanEval/0,1,,spec_eval,20,1,0,1,0,488,488,none,,,,2088 6901 47207 8 481 220 16 982 286 421 5109 989, range(len(numbers) - 1):\n        if numbers[i,,,,, +,,no_pattern_fired,2,0,0,6.820000271545723e-05,0.025097700003243517,7.470000127796084e-05
HumanEval/0,1,,spec_eval,21,1,0,1,0,220,220,none,,,,6901 47207 8 481 220 16 982 286 421 5109 989 488,(len(numbers) - 1):\n        if numbers[i +,,,,, ,,no_pattern_fired,2,0,0,7.069999992381781e-05,0.025115700002061203,6.450000364566222e-05
HumanEval/0,1,,spec_eval,22,1,0,1,0,16,16,none,,,,47207 8 481 220 16 982 286 421 5109 989 488 220,(numbers) - 1):\n        if numbers[i + ,,,,,1,,no_pattern_fired,2,0,0,6.420000136131421e-05,0.025079899998672772,6.53000024612993e-05
HumanEval/0,1,,spec_eval,23,1,0,1,0,60,60,none,,,,8 481 220 16 982 286 421 5109 989 488 220 16,) - 1):\n        if numbers[i + 1,,,,,],,no_pattern_fired,2,0,0,6.0699996538460255e-05,0.02508000000671018,0.00010620000102790073
HumanEval/0,1,,spec_eval,24,1,0,1,0,481,481,none,,,,481 220 16 982 286 421 5109 989 488 220 16 60, - 1):\n        if numbers[i + 1],,,,, -,,no_pattern_fired,2,0,0,9.250000584870577e-05,0.025243699994462077,7.220000406960025e-05
HumanEval/0,1,,spec_eval,25,1,1,1,0,5109,5109,syntax_minus_one,syntax_minus_one,0.930,999,220 16 982 286 421 5109 989 488 220 16 60 481, 1):\n        if numbers[i + 1] -,16,1,5109, numbers, numbers,0,draft_token_mismatch,3,0,0,0.00010130000009667128,0.027038700005505234,0.00012150000111432746
HumanEval/0,1,,spec_eval,26,1,0,1,0,989,989,none,,,,16 982 286 421 5109 989 488 220 16 60 481 5109,1):\n        if numbers[i + 1] - numbers,,,,,[i,,no_pattern_fired,3,0,0,6.640000356128439e-05,0.026541200000792742,7.249999907799065e-05
HumanEval/0,1,,spec_eval,27,1,0,1,0,60,60,none,,,,982 286 421 5109 989 488 220 16 60 481 5109 989,):\n        if numbers[i + 1] - numbers[i,,,,,],,no_pattern_fired,3,0,0,7.01000026310794e-05,0.02603629999794066,7.20999960321933e-05
HumanEval/0,1,,spec_eval,28,1,0,1,0,366,366,none,,,,286 421 5109 989 488 220 16 60 481 5109 989 60,        if numbers[i + 1] - numbers[i],,,,, <,,no_pattern_fired,3,0,0,6.930000381544232e-05,0.02530310000292957,0.00013839999883202836
HumanEval/0,1,,spec_eval,29,1,0,1,0,12171,12171,none,,,,421 5109 989 488 220 16 60 481 5109 989 60 366, if numbers[i + 1] - numbers[i] <,,,,, threshold,,no_pattern_fired,3,0,0,0.00015140000323299319,0.025160899996990338,7.819999882485718e-05
HumanEval/0,1,,spec_eval,30,1,0,1,0,510,510,none,,,,5109 989 488 220 16 60 481 5109 989 60 366 12171, numbers[i + 1] - numbers[i] < threshold,,,,,:\n,,no_pattern_fired,3,0,0,7.560000085504726e-05,0.025107500005105976,7.190000178525224e-05
HumanEval/0,1,,spec_eval,31,1,1,2,1,470,470,syntax_indent,syntax_indent,0.980,999,989 488 220 16 60 481 5109 989 60 366 12171 510,[i + 1] - numbers[i] < threshold:\n,310,           ,310,           , return,,draft_accepted,3,0,1,0.0001109000004362315,0.02722350000112783,0.0001632999992580153
HumanEval/0,1,,spec_eval,33,1,0,1,0,3007,3007,none,,,,220 16 60 481 5109 989 60 366 12171 510 310 470, 1] - numbers[i] < threshold:\n            return,,,,, True,,no_pattern_fired,3,0,0,7.099999493220821e-05,0.02652490000036778,0.00016199999663513154
HumanEval/0,1,,spec_eval,34,1,2,2,1,262,262,syntax_return_terminal,syntax_return_terminal|syntax_dedent_after_terminal,1.000|0.940,999|999,16 60 481 5109 989 60 366 12171 510 310 470 3007,1] - numbers[i] < threshold:\n            return True,198 286,\n       ,198 262,\n   ,   ,1,draft_token_mismatch,4,0,1,0.00010289999772794545,0.031220000004395843,0.00022419999731937423
HumanEval/0,1,,spec_eval,36,1,0,1,0,470,470,none,,,,481 5109 989 60 366 12171 510 310 470 3007 198 262, - numbers[i] < threshold:\n            return True\n   ,,,,, return,,no_pattern_fired,4,0,0,5.870000313734636e-05,0.026768100004119333,6.759999814676121e-05
HumanEval/0,1,,spec_eval,37,1,0,1,0,3557,3557,none,,,,5109 989 60 366 12171 510 310 470 3007 198 262 470, numbers[i] < threshold:\n            return True\n    return,,,,, False,,no_pattern_fired,4,0,0,5.3099996875971556e-05,0.02581609999469947,6.86999992467463e-05
HumanEval/0,1,,spec_eval,38,1,1,1,0,1406,1406,syntax_return_terminal,syntax_return_terminal,1.000,999,989 60 366 12171 510 310 470 3007 198 262 470 3557,[i] < threshold:\n            return True\n    return False,198,\n,1406,\n\n\n,\n\n\n,0,draft_token_mismatch,5,0,0,8.830000297166407e-05,0.026857199998630676,0.00013059999764664099
HumanEval/0,1,,spec_eval,39,1,0,1,0,333,333,none,,,,60 366 12171 510 310 470 3007 198 262 470 3557 1406,] < threshold:\n            return True\n    return False\n\n\n,,,,,if,,no_pattern_fired,5,0,0,6.669999856967479e-05,0.026406600001791958,0.00011340000492054969
HumanEval/0,1,,spec_eval,40,1,0,1,0,1304,1304,none,,,,366 12171 510 310 470 3007 198 262 470 3557 1406 333, < threshold:\n            return True\n    return False\n\n\nif,,,,, __,,no_pattern_fired,5,0,0,7.94000006862916e-05,0.026357100003224332,6.519999442389235e-05
HumanEval/0,1,,spec_eval,41,1,0,1,0,606,606,none,,,,12171 510 310 470 3007 198 262 470 3557 1406 333 1304, threshold:\n            return True\n    return False\n\n\nif __,,,,,name,,no_pattern_fired,5,0,0,7.090000144671649e-05,0.025338300001749303,7.190000178525224e-05
HumanEval/0,1,,spec_eval,42,1,0,1,0,563,563,none,,,,510 310 470 3007 198 262 470 3557 1406 333 1304 606,:\n            return True\n    return False\n\n\nif __name,,,,,__,,no_pattern_fired,5,0,0,7.490000280085951e-05,0.024880800003302284,8.990000060293823e-05
HumanEval/0,1,,spec_eval,43,1,1,2,1,12112,12112,syntax_name_eq,syntax_name_eq,1.000,999,310 470 3007 198 262 470 3557 1406 333 1304 606 563,            return True\n    return False\n\n\nif __name__,621, ==,621, ==, '__,,draft_accepted,5,0,1,0.00011299999459879473,0.02757660000497708,0.00019150000298395753
HumanEval/0,1,,spec_eval,45,1,0,1,0,3817,3817,none,,,,3007 198 262 470 3557 1406 333 1304 606 563 621 12112, True\n    return False\n\n\nif __name__ == '__,,,,,main,,no_pattern_fired,5,0,0,7.750000077066943e-05,0.02647639999486273,0.00010869999823626131
HumanEval/0,1,,spec_eval,46,1,0,1,0,16179,16179,none,,,,198 262 470 3557 1406 333 1304 606 563 621 12112 3817,\n    return False\n\n\nif __name__ == '__main,,,,,__':\n,,no_pattern_fired,5,0,0,0.00017099999968195334,0.026221699998131953,6.880000000819564e-05
HumanEval/0,1,,spec_eval,47,1,1,2,1,1159,1159,syntax_indent,syntax_indent,0.980,999,262 470 3557 1406 333 1304 606 563 621 12112 3817 16179,    return False\n\n\nif __name__ == '__main__':\n,262,   ,262,   , import,,draft_accepted,5,0,1,0.00010060000204248354,0.02755549999710638,0.0001353999978164211
HumanEval/0,1,,spec_eval,49,1,0,1,0,653,653,none,,,,3557 1406 333 1304 606 563 621 12112 3817 16179 262 1159, False\n\n\nif __name__ == '__main__':\n    import,,,,, do,,no_pattern_fired,5,0,0,6.67000058456324e-05,0.026882699996349402,9.950000094249845e-05
HumanEval/0,1,,spec_eval,50,1,0,1,0,67880,67880,none,,,,1406 333 1304 606 563 621 12112 3817 16179 262 1159 653,\n\n\nif __name__ == '__main__':\n    import do,,,,,ctest,,no_pattern_fired,5,0,0,0.0001286000042455271,0.026763499998196494,0.00012419999984558672
HumanEval/0,1,,spec_eval,51,1,0,1,0,198,198,none,,,,333 1304 606 563 621 12112 3817 16179 262 1159 653 67880,if __name__ == '__main__':\n    import doctest,,,,,\n,,no_pattern_fired,5,0,0,9.640000644139946e-05,0.02529320000030566,0.00012560000322991982
HumanEval/0,1,,spec_eval,52,1,0,1,0,262,262,none,,,,1304 606 563 621 12112 3817 16179 262 1159 653 67880 198, __name__ == '__main__':\n    import doctest\n,,,,,   ,,no_pattern_fired,5,0,0,7.349999941652641e-05,0.02512439999554772,0.00011690000246744603
HumanEval/0,1,,spec_eval,53,1,0,1,0,653,653,none,,,,606 563 621 12112 3817 16179 262 1159 653 67880 198 262,name__ == '__main__':\n    import doctest\n   ,,,,, do,,no_pattern_fired,5,0,0,5.999999848427251e-05,0.02499340000213124,6.510000093840063e-05
HumanEval/0,1,,spec_eval,54,1,0,1,0,67880,67880,none,,,,563 621 12112 3817 16179 262 1159 653 67880 198 262 653,__ == '__main__':\n    import doctest\n    do,,,,,ctest,,no_pattern_fired,5,0,0,5.400000372901559e-05,0.02492579999670852,7.410000398522243e-05
HumanEval/0,1,,spec_eval,55,1,0,1,0,5958,5958,none,,,,621 12112 3817 16179 262 1159 653 67880 198 262 653 67880, == '__main__':\n    import doctest\n    doctest,,,,,.test,,no_pattern_fired,5,0,0,5.469999450724572e-05,0.025267899996833876,6.819999543949962e-05
HumanEval/0,1,,spec_eval,56,1,0,1,0,2593,2593,none,,,,12112 3817 16179 262 1159 653 67880 198 262 653 67880 5958, '__main__':\n    import doctest\n    doctest.test,,,,,mod,,no_pattern_fired,5,0,0,7.390000246232376e-05,0.025100999999267515,7.410000398522243e-05
HumanEval/0,1,,spec_eval,57,1,0,1,0,368,368,none,,,,3817 16179 262 1159 653 67880 198 262 653 67880 5958 2593,main__':\n    import doctest\n    doctest.testmod,,,,,(),,no_pattern_fired,5,0,0,7.439999899361283e-05,0.025061600004846696,7.139999797800556e-05
HumanEval/0,1,,spec_eval,58,1,0,1,0,151643,151643,none,,,,16179 262 1159 653 67880 198 262 653 67880 5958 2593 368,__':\n    import doctest\n    doctest.testmod(),,,,,,,no_pattern_fired,5,0,0,8.55999969644472e-05,0.025057899998500943,6.630000279983506e-05
HumanEval/0,1,,spec_eval,59,1,0,1,0,474,474,none,,,,262 1159 653 67880 198 262 653 67880 5958 2593 368 151643,    import doctest\n    doctest.testmod(),,,,,import,,no_pattern_fired,5,0,0,7.420000474667177e-05,0.025101799998083152,0.00017469999875174835
HumanEval/0,1,,spec_eval,60,1,0,1,0,653,653,none,,,,1159 653 67880 198 262 653 67880 5958 2593 368 151643 474, import doctest\n    doctest.testmod()import,,,,, do,,no_pattern_fired,5,0,0,0.00012859999696956947,0.02515080000011949,0.00010460000339662656
HumanEval/0,1,,spec_eval,61,1,0,1,0,67880,67880,none,,,,653 67880 198 262 653 67880 5958 2593 368 151643 474 653, doctest\n    doctest.testmod()import do,,,,,ctest,,no_pattern_fired,5,0,0,8.960000559454784e-05,0.025174000002152752,6.830000347690657e-05
HumanEval/0,1,,spec_eval,62,1,0,1,0,198,198,none,,,,67880 198 262 653 67880 5958 2593 368 151643 474 653 67880,ctest\n    doctest.testmod()import doctest,,,,,\n,,no_pattern_fired,5,0,0,6.589999975403771e-05,0.025020400003995746,7.419999747071415e-05
HumanEval/0,1,,spec_eval,63,1,0,1,0,2982,2982,none,,,,198 262 653 67880 5958 2593 368 151643 474 653 67880 198,\n    doctest.testmod()import doctest\n,,,,,do,,no_pattern_fired,5,0,0,5.5999997130129486e-05,0.025106200002483092,0.00013449999823933467
HumanEval/0,1,,spec_eval,64,1,0,1,0,67880,67880,none,,,,262 653 67880 5958 2593 368 151643 474 653 67880 198 2982,    doctest.testmod()import doctest\ndo,,,,,ctest,,no_pattern_fired,5,0,0,8.759999764151871e-05,0.025049300005775876,8.570000500185415e-05
HumanEval/0,1,,spec_eval,65,1,0,1,0,5958,5958,none,,,,653 67880 5958 2593 368 151643 474 653 67880 198 2982 67880, doctest.testmod()import doctest\ndoctest,,,,,.test,,no_pattern_fired,5,0,0,4.990000161342323e-05,0.025403300001926254,0.0001157000006060116
HumanEval/0,1,,spec_eval,66,1,0,1,0,2593,2593,none,,,,67880 5958 2593 368 151643 474 653 67880 198 2982 67880 5958,ctest.testmod()import doctest\ndoctest.test,,,,,mod,,no_pattern_fired,5,0,0,5.709999823011458e-05,0.025422999999136664,9.809999755816534e-05
HumanEval/0,1,,spec_eval,67,1,0,1,0,368,368,none,,,,5958 2593 368 151643 474 653 67880 198 2982 67880 5958 2593,.testmod()import doctest\ndoctest.testmod,,,,,(),,no_pattern_fired,5,0,0,8.340000204043463e-05,0.025394199998117983,7.109999569365755e-05
HumanEval/0,1,,spec_eval,68,1,0,1,0,151643,151643,none,,,,2593 368 151643 474 653 67880 198 2982 67880 5958 2593 368,mod()import doctest\ndoctest.testmod(),,,,,,,no_pattern_fired,5,0,0,6.070000381441787e-05,0.02492540000093868,7.14999987394549e-05
HumanEval/0,1,,spec_eval,69,1,0,1,0,474,474,none,,,,368 151643 474 653 67880 198 2982 67880 5958 2593 368 151643,()import doctest\ndoctest.testmod(),,,,,import,,no_pattern_fired,5,0,0,6.0500002291519195e-05,0.025258800000301562,0.00010459999612066895
HumanEval/0,1,,spec_eval,70,1,0,1,0,653,653,none,,,,151643 474 653 67880 198 2982 67880 5958 2593 368 151643 474,import doctest\ndoctest.testmod()import,,,,, do,,no_pattern_fired,5,0,0,7.040000491542742e-05,0.025009500001033302,6.510000093840063e-05
HumanEval/0,1,,spec_eval,71,1,0,1,0,67880,67880,none,,,,474 653 67880 198 2982 67880 5958 2593 368 151643 474 653,import doctest\ndoctest.testmod()import do,,,,,ctest,,no_pattern_fired,5,0,0,6.10999995842576e-05,0.025086199995712377,6.880000000819564e-05
HumanEval/0,1,,spec_eval,72,1,0,1,0,198,198,none,,,,653 67880 198 2982 67880 5958 2593 368 151643 474 653 67880, doctest\ndoctest.testmod()import doctest,,,,,\n,,no_pattern_fired,5,0,0,6.959999882383272e-05,0.025076400001125876,6.479999865405262e-05
HumanEval/0,1,,spec_eval,73,1,0,1,0,2982,2982,none,,,,67880 198 2982 67880 5958 2593 368 151643 474 653 67880 198,ctest\ndoctest.testmod()import doctest\n,,,,,do,,no_pattern_fired,5,0,0,4.980000085197389e-05,0.025102899999183137,6.830000347690657e-05
HumanEval/0,1,,spec_eval,74,1,0,1,0,67880,67880,none,,,,198 2982 67880 5958 2593 368 151643 474 653 67880 198 2982,\ndoctest.testmod()import doctest\ndo,,,,,ctest,,no_pattern_fired,5,0,0,5.029999738326296e-05,0.025248000005376525,9.609999688109383e-05
