task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,1,0,0,7.249999907799065e-05,0.02717780000239145,0.00012129999959142879
HumanEval/0,1,,spec_eval,13,1,1,1,0,220,220,syntax_minus_one,syntax_minus_one,0.930,999,5109 10614 741 262 369 600 304 2088 6901 47207 8 481, numbers.sort()\n    for i in range(len(numbers) -,16,1,220, , ,0,draft_token_mismatch,2,0,0,0.00013079999916953966,0.027019599998311605,0.0001266999970539473
HumanEval/0,1,,spec_eval,25,1,1,1,0,5109,5109,syntax_minus_one,syntax_minus_one,0.930,999,220 16 982 286 421 5109 989 488 220 16 60 481, 1):\n        if numbers[i + 1] -,16,1,5109, numbers, numbers,0,draft_token_mismatch,3,0,0,0.00010130000009667128,0.027038700005505234,0.00012150000111432746
HumanEval/0,1,,spec_eval,34,1,2,2,1,262,262,syntax_return_terminal,syntax_return_terminal|syntax_dedent_after_terminal,1.000|0.940,999|999,16 60 481 5109 989 60 366 12171 510 310 470 3007,1] - numbers[i] < threshold:\n            return True,198 286,\n       ,198 262,\n   ,   ,1,draft_token_mismatch,4,0,1,0.00010289999772794545,0.031220000004395843,0.00022419999731937423
HumanEval/0,1,,spec_eval,38,1,1,1,0,1406,1406,syntax_return_terminal,syntax_return_terminal,1.000,999,989 60 366 12171 510 310 470 3007 198 262 470 3557,[i] < threshold:\n            return True\n    return False,198,\n,1406,\n\n\n,\n\n\n,0,draft_token_mismatch,5,0,0,8.830000297166407e-05,0.026857199998630676,0.00013059999764664099
HumanEval/1,2,,spec_eval,27,1,1,1,0,369,369,strong_ctx5,strong_ctx5,1.000,1,2730 284 8389 262 1787 620 9151 284 220 15 198 262," temp = """"\n    open_paren = 0\n   ",10619, priority,369, for, for,0,draft_token_mismatch,1,0,0,6.0200000007171184e-05,0.02706420000322396,0.00012780000542989
HumanEval/1,2,,spec_eval,47,1,1,1,0,286,286,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0.880,999,1161 621 33579 510 310 1787 620 9151 1421 220 16 198," char == ""("":\n            open_paren += 1\n",310,           ,286,       ,       ,0,draft_token_mismatch,2,0,0,0.001141000000643544,0.02696000000287313,0.00011709999671438709
HumanEval/1,2,,spec_eval,48,1,1,1,0,4409,4409,det_ctx5,det_ctx5,1.000,2,621 33579 510 310 1787 620 9151 1421 220 16 198 286," == ""("":\n            open_paren += 1\n       ",1290, right,4409, elif, elif,0,draft_token_mismatch,3,0,0,6.340000254567713e-05,0.02753639999718871,0.0001201999984914437
HumanEval/1,2,,spec_eval,61,1,1,1,0,286,286,det_ctx4,det_ctx4,1.000,2,1161 621 12310 4660 310 1787 620 9151 5982 220 16 198," char == "")"":\n            open_paren -= 1\n",262,   ,286,       ,       ,0,draft_token_mismatch,4,0,0,6.209999992279336e-05,0.027164400002220646,0.00011960000119870529
HumanEval/1,2,,spec_eval,62,1,1,1,0,2730,2730,det_ctx4,det_ctx4,1.000,2,621 12310 4660 310 1787 620 9151 5982 220 16 198 286," == "")"":\n            open_paren -= 1\n       ",1290, right,2730, temp, temp,0,draft_token_mismatch,5,0,0,5.409999721450731e-05,0.02736210000148276,0.00014460000238614157
HumanEval/1,2,,spec_eval,84,1,1,1,0,262,262,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0.880,999,220 15 510 310 1102 2057 9758 340 310 2730 284 8389," 0:\n            result.append(temp)\n            temp = """"\n",310,           ,262,   ,   ,0,draft_token_mismatch,6,0,0,6.089999806135893e-05,0.02714610000111861,0.00018080000154441223
HumanEval/1,2,,spec_eval,93,1,1,1,0,13265,13265,strong_ctx6,strong_ctx6,1.000,1,2730 284 8389 262 470 1102 1406 333 1304 606 563 621," temp = """"\n    return result\n\n\nif __name__ ==",12112, '__,13265," ""__"," ""__",0,draft_token_mismatch,7,0,0,5.329999839887023e-05,0.027565700002014637,0.00015829999756533653
