tier,rows,proposed_tokens,accepted_tokens,rejected_tokens_est,reject_events,accept_rate_pct,pattern_s,decode_s,verify_s
det_ctx8,93,331,307,24,9,92.75,0.01349,3.076688,0.0253
strong_ctx8,56,124,105,19,8,84.68,0.006544,1.644222,0.011665
syntax_indent,49,61,59,2,2,96.72,0.006147,1.335267,0.007376
det_ctx7,6,54,52,2,1,96.3,0.001304,0.19989,0.003082
det_ctx5,7,39,27,12,3,69.23,0.001421,0.224795,0.002493
strong_ctx4,29,32,22,10,10,68.75,0.003079,0.783883,0.004206
det_ctx4,20,30,19,11,5,63.33,0.002354,0.559532,0.003386
strong_ctx6,19,21,13,8,6,61.9,0.001853,0.528173,0.002999
syntax_for_in,11,15,12,3,2,80.0,0.001147,0.307685,0.00171
syntax_range_paren,3,14,0,14,3,0.0,0.000527,0.090556,0.000891
syntax_same_indent_simple_assign,14,14,8,6,6,57.14,0.002538,0.379869,0.00186
syntax_pluseq_space,1,12,1,11,1,8.33,0.000213,0.033952,0.00059
strong_ctx5,8,10,5,5,4,50.0,0.000899,0.217806,0.001293
det_ctx6,3,9,9,0,0,100.0,0.000406,0.089531,0.000676
syntax_name_eq,8,8,8,0,0,100.0,0.000796,0.216103,0.001224
syntax_minus_one,7,7,5,2,2,71.43,0.000807,0.191232,0.000972
syntax_return_terminal,5,7,4,3,3,57.14,0.000518,0.138023,0.000751
syntax_block_colon,3,6,6,0,0,100.0,0.000369,0.081847,0.000554
syntax_class_next_method,5,5,0,5,5,0.0,0.000496,0.131734,0.000833
strong_ctx7,4,5,5,0,0,100.0,0.000318,0.103047,0.000644
syntax_dedent_after_terminal,3,3,2,1,1,66.67,0.000277,0.081638,0.000514
syntax_return_len_self,2,2,0,2,2,0.0,0.000212,0.054419,0.000282
syntax_statement_end,1,2,1,1,1,50.0,0.00013,0.02798,0.000228
syntax_code_fence_def,1,1,1,0,0,100.0,0.000186,0.026866,0.000141
none,1519,0,0,0,0,0.0,0.126132,38.73018,0.122812
