task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,9,1,1,1,0,6901,6901,syntax_range_paren,syntax_range_paren,1.000,999,2487 1172 624 262 5109 10614 741 262 369 600 304 2088, body only.\n    numbers.sort()\n    for i in range,7,(,6901,(len,(len,0,draft_token_mismatch,1,0,0,0.00010550000297371298,0.027963300002738833,0.00015260000509442762
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,2,0,0,0.00011970000196015462,0.025181299999530893,0.0001247000036528334
HumanEval/0,1,,spec_eval,13,1,1,1,0,220,220,syntax_minus_one,syntax_minus_one,0.930,999,5109 10614 741 262 369 600 304 2088 6901 47207 8 481, numbers.sort()\n    for i in range(len(numbers) -,16,1,220, , ,0,draft_token_mismatch,3,0,0,0.00010520000068936497,0.026673299995309208,0.0001421999986632727
HumanEval/0,1,,spec_eval,25,1,1,1,0,5109,5109,syntax_minus_one,syntax_minus_one,0.930,999,220 16 982 286 421 5109 989 488 220 16 60 481, 1):\n        if numbers[i + 1] -,16,1,5109, numbers, numbers,0,draft_token_mismatch,4,0,0,0.00010869999823626131,0.027150300003995653,0.00011900000390596688
HumanEval/0,1,,spec_eval,34,1,2,2,1,262,262,syntax_return_terminal,syntax_return_terminal|syntax_dedent_after_terminal,1.000|0.940,999|999,16 60 481 5109 989 60 366 12171 510 310 470 3007,1] - numbers[i] < threshold:\n            return True,198 286,\n       ,198 262,\n   ,   ,1,draft_token_mismatch,5,0,1,0.00011509999603731558,0.030513599995174445,0.000167800004419405
HumanEval/0,1,,spec_eval,38,1,1,1,0,1406,1406,syntax_return_terminal,syntax_return_terminal,1.000,999,989 60 366 12171 510 310 470 3007 198 262 470 3557,[i] < threshold:\n            return True\n    return False,198,\n,1406,\n\n\n,\n\n\n,0,draft_token_mismatch,6,0,0,9.250000584870577e-05,0.026870000001508743,0.00011679999443003908
HumanEval/1,2,,spec_eval,27,1,1,1,0,369,369,strong_ctx5,strong_ctx5,1.000,1,2730 284 8389 262 1787 620 9151 284 220 15 198 262," temp = """"\n    open_paren = 0\n   ",10619, priority,369, for, for,0,draft_token_mismatch,1,0,0,0.00010520000068936497,0.02717539999866858,0.00011950000043725595
HumanEval/1,2,,spec_eval,29,1,3,2,1,37940,37940,syntax_for_in,syntax_for_in|syntax_for_range|syntax_range_paren,0.990|0.970|1.000,999|999|999,8389 262 1787 620 9151 284 220 15 198 262 369 1161," """"\n    open_paren = 0\n    for char",304 2088 7, in range(,304 37940 6901, in paren(len, paren,1,draft_token_mismatch,2,0,1,0.00012570000399136916,0.032942500001809094,0.0002451999971526675
HumanEval/1,2,,spec_eval,44,1,12,2,1,16,16,syntax_pluseq_space,syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,999|999|999|999|999|999|999|999|999|999|999|999,510 286 421 1161 621 33579 510 310 1787 620 9151 1421,":\n        if char == ""("":\n            open_paren +=",220 220 220 220 220 220 220 220 220 220 220 220,            ,220 16 16 16 16 16 16 16 16 16 16 16, 11111111111,1,1,draft_token_mismatch,3,0,1,0.00020640000002458692,0.03996010000264505,0.0006643999950028956
HumanEval/1,2,,spec_eval,47,1,1,1,0,286,286,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0.880,999,1161 621 33579 510 310 1787 620 9151 1421 220 16 198," char == ""("":\n            open_paren += 1\n",310,           ,286,       ,       ,0,draft_token_mismatch,4,0,0,0.0002556999970693141,0.026913100002275314,0.00013839999883202836
HumanEval/1,2,,spec_eval,48,1,1,1,0,4409,4409,det_ctx5,det_ctx5,1.000,2,621 33579 510 310 1787 620 9151 1421 220 16 198 286," == ""("":\n            open_paren += 1\n       ",1290, right,4409, elif, elif,0,draft_token_mismatch,5,0,0,0.00012159999459981918,0.027486099999805447,0.0001384999995934777
HumanEval/1,2,,spec_eval,61,1,1,1,0,286,286,det_ctx4,det_ctx4,1.000,2,1161 621 12310 4660 310 1787 620 9151 5982 220 16 198," char == "")"":\n            open_paren -= 1\n",262,   ,286,       ,       ,0,draft_token_mismatch,6,0,0,8.720000187167898e-05,0.027079999999841675,0.0001410000040777959
HumanEval/1,2,,spec_eval,62,1,1,1,0,2730,2730,det_ctx4,det_ctx4,1.000,2,621 12310 4660 310 1787 620 9151 5982 220 16 198 286," == "")"":\n            open_paren -= 1\n       ",1290, right,2730, temp, temp,0,draft_token_mismatch,7,0,0,8.160000288626179e-05,0.028298600002017338,0.00011789999553002417
HumanEval/1,2,,spec_eval,64,1,12,1,0,1161,1161,syntax_pluseq_space,syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space|syntax_pluseq_space,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,999|999|999|999|999|999|999|999|999|999|999|999,4660 310 1787 620 9151 5982 220 16 198 286 2730 1421,""":\n            open_paren -= 1\n        temp +=",220 220 220 220 220 220 220 220 220 220 220 220,            ,1161 1161 16 16 16 16 16 16 16 16 16 16, char char1111111111, char,0,draft_token_mismatch,8,0,0,0.0002027000009547919,0.03457580000394955,0.0005214000047999434
HumanEval/1,2,,spec_eval,75,1,2,2,1,1102,1102,syntax_indent,syntax_indent|det_ctx5,0.980|1.000,999|4,1421 1161 198 286 421 1787 620 9151 621 220 15 510, += char\n        if open_paren == 0:\n,310 470,            return,310 1102,            result, result,1,draft_token_mismatch,9,0,1,0.0001047000041580759,0.02724020000459859,0.00016319999849656597
