prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
implement linked lsit in python only code no comments,spec_eval,1,1,0,1,0,73594,73594,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198,implement linked lsit in python only code no comments\n,,,,,```,,no_pattern_fired,0,0,0,2.8799993742723018e-05,0.026535500001045875,6.890000076964498e-05
implement linked lsit in python only code no comments,spec_eval,2,1,0,1,0,12669,12669,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198 73594,implement linked lsit in python only code no comments\n```,,,,,python,,no_pattern_fired,0,0,0,3.460000152699649e-05,0.026499299994611647,7.929999992484227e-05
implement linked lsit in python only code no comments,spec_eval,3,1,0,1,0,198,198,none,,,,10592 19597 275 304 10135 1172 2038 902 6042 198 73594 12669, linked lsit in python only code no comments\n```python,,,,,\n,,no_pattern_fired,0,0,0,6.040000153006986e-05,0.025137399999948684,6.640000356128439e-05
implement linked lsit in python only code no comments,spec_eval,4,1,1,1,0,1040,1040,det_ctx4,det_ctx4,1.000,8,19597 275 304 10135 1172 2038 902 6042 198 73594 12669 198, lsit in python only code no comments\n```python\n,750,def,1040,class,class,0,draft_token_mismatch,1,0,0,0.00013320000289240852,0.030036299998755567,0.00013890000263927504
implement linked lsit in python only code no comments,spec_eval,5,1,0,1,0,6018,6018,none,,,,275 304 10135 1172 2038 902 6042 198 73594 12669 198 1040,it in python only code no comments\n```python\nclass,,,,, Node,,no_pattern_fired,1,0,0,5.329999839887023e-05,0.026364299999841023,7.520000508520752e-05
implement linked lsit in python only code no comments,spec_eval,6,1,1,2,1,262,262,det_ctx5,det_ctx5,1.000,4,304 10135 1172 2038 902 6042 198 73594 12669 198 1040 6018, in python only code no comments\n```python\nclass Node,510,:\n,510,:\n,   ,,draft_accepted,1,0,1,7.579999510198832e-05,0.02709770000365097,0.00019660000543808565
implement linked lsit in python only code no comments,spec_eval,8,1,1,2,1,1304,1304,det_ctx7,det_ctx7,1.000,4,1172 2038 902 6042 198 73594 12669 198 1040 6018 510 262, only code no comments\n```python\nclass Node:\n   ,707, def,707, def, __,,draft_accepted,1,0,1,6.1399994592648e-05,0.027965700006461702,0.0001415999940945767
implement linked lsit in python only code no comments,spec_eval,10,1,1,2,1,3804,3804,syntax_dunder_init,syntax_dunder_init,1.000,999,902 6042 198 73594 12669 198 1040 6018 510 262 707 1304, no comments\n```python\nclass Node:\n    def __,2327,init,2327,init,__(,,draft_accepted,1,0,1,6.0800004575867206e-05,0.025063900000532158,0.00013180000678403303
implement linked lsit in python only code no comments,spec_eval,12,1,1,2,1,11,11,syntax_dunder_self,syntax_dunder_self,1.000,999,198 73594 12669 198 1040 6018 510 262 707 1304 2327 3804,\n```python\nclass Node:\n    def __init__(,721,self,721,self,",",,draft_accepted,1,0,1,5.94000011915341e-05,0.025584700000763405,0.00017130000196630135
implement linked lsit in python only code no comments,spec_eval,14,1,0,1,0,821,821,none,,,,12669 198 1040 6018 510 262 707 1304 2327 3804 721 11,"python\nclass Node:\n    def __init__(self,",,,,, data,,no_pattern_fired,1,0,0,7.330000516958535e-05,0.026551900002232287,8.069999603321776e-05
implement linked lsit in python only code no comments,spec_eval,15,1,1,2,1,286,286,det_ctx8,det_ctx8,1.000,2,198 1040 6018 510 262 707 1304 2327 3804 721 11 821,"\nclass Node:\n    def __init__(self, data",982,):\n,982,):\n,       ,,draft_accepted,1,0,1,6.070000381441787e-05,0.027091300005849916,0.00012120000610593706
implement linked lsit in python only code no comments,spec_eval,17,1,1,2,1,2196,2196,det_ctx8,det_ctx8,1.000,2,6018 510 262 707 1304 2327 3804 721 11 821 982 286," Node:\n    def __init__(self, data):\n       ",656, self,656, self,.data,,draft_accepted,1,0,1,6.479999865405262e-05,0.026462599998922087,0.00014489999739453197
implement linked lsit in python only code no comments,spec_eval,19,1,1,2,1,821,821,det_ctx8,det_ctx8,1.000,2,262 707 1304 2327 3804 721 11 821 982 286 656 2196,"    def __init__(self, data):\n        self.data",284, =,284, =, data,,draft_accepted,1,0,1,5.989999772282317e-05,0.025043000001460314,0.00015560000611003488
implement linked lsit in python only code no comments,spec_eval,21,1,1,2,1,286,286,det_ctx8,det_ctx8,1.000,2,1304 2327 3804 721 11 821 982 286 656 2196 284 821," __init__(self, data):\n        self.data = data",198,\n,198,\n,       ,,draft_accepted,1,0,1,6.600000051548705e-05,0.025119900004938245,0.00012489999789977446
implement linked lsit in python only code no comments,spec_eval,23,1,1,2,1,4529,4529,det_ctx8,det_ctx8,1.000,2,3804 721 11 821 982 286 656 2196 284 821 198 286,"__(self, data):\n        self.data = data\n       ",656, self,656, self,.next,,draft_accepted,1,0,1,4.6200002543628216e-05,0.02544540000235429,0.00014560000272467732
implement linked lsit in python only code no comments,spec_eval,25,1,1,2,1,2240,2240,det_ctx8,det_ctx8,1.000,2,11 821 982 286 656 2196 284 821 198 286 656 4529,", data):\n        self.data = data\n        self.next",284, =,284, =, None,,draft_accepted,1,0,1,6.570000550709665e-05,0.025459399999817833,0.00018139999883715063
implement linked lsit in python only code no comments,spec_eval,27,1,1,2,1,1040,1040,det_ctx8,det_ctx8,1.000,2,982 286 656 2196 284 821 198 286 656 4529 284 2240,):\n        self.data = data\n        self.next = None,271,\n\n,271,\n\n,class,,draft_accepted,1,0,1,7.719999848632142e-05,0.02514369999698829,0.00013309999485500157
implement linked lsit in python only code no comments,spec_eval,29,1,0,1,0,22917,22917,none,,,,656 2196 284 821 198 286 656 4529 284 2240 271 1040, self.data = data\n        self.next = None\n\nclass,,,,, LinkedList,,no_pattern_fired,1,0,0,5.800000508315861e-05,0.02667010000004666,6.679999933112413e-05
implement linked lsit in python only code no comments,spec_eval,30,1,0,1,0,510,510,none,,,,2196 284 821 198 286 656 4529 284 2240 271 1040 22917,.data = data\n        self.next = None\n\nclass LinkedList,,,,,:\n,,no_pattern_fired,1,0,0,7.750000077066943e-05,0.02692679999745451,7.560000085504726e-05
implement linked lsit in python only code no comments,spec_eval,31,1,1,2,1,707,707,syntax_indent,syntax_indent,0.980,999,284 821 198 286 656 4529 284 2240 271 1040 22917 510, = data\n        self.next = None\n\nclass LinkedList:\n,262,   ,262,   , def,,draft_accepted,1,0,1,4.169999738223851e-05,0.02685390000260668,0.00011870000162161887
implement linked lsit in python only code no comments,spec_eval,33,1,0,1,0,1304,1304,none,,,,198 286 656 4529 284 2240 271 1040 22917 510 262 707,\n        self.next = None\n\nclass LinkedList:\n    def,,,,, __,,no_pattern_fired,1,0,0,5.219999729888514e-05,0.026468699994438794,7.429999823216349e-05
implement linked lsit in python only code no comments,spec_eval,34,1,1,2,1,3804,3804,syntax_dunder_init,syntax_dunder_init,1.000,999,286 656 4529 284 2240 271 1040 22917 510 262 707 1304,        self.next = None\n\nclass LinkedList:\n    def __,2327,init,2327,init,__(,,draft_accepted,1,0,1,4.949999856762588e-05,0.02704910000466043,0.00019260000408394262
implement linked lsit in python only code no comments,spec_eval,36,1,1,2,1,982,982,syntax_dunder_self,syntax_dunder_self,1.000,999,4529 284 2240 271 1040 22917 510 262 707 1304 2327 3804,.next = None\n\nclass LinkedList:\n    def __init__(,721,self,721,self,):\n,,draft_accepted,1,0,1,8.760000491747633e-05,0.027938799998082686,0.0001171000039903447
implement linked lsit in python only code no comments,spec_eval,38,1,1,2,1,656,656,syntax_indent,syntax_indent,0.980,999,2240 271 1040 22917 510 262 707 1304 2327 3804 721 982, None\n\nclass LinkedList:\n    def __init__(self):\n,286,       ,286,       , self,,draft_accepted,1,0,1,3.470000228844583e-05,0.02501219999976456,0.00011390000145183876
implement linked lsit in python only code no comments,spec_eval,40,1,0,1,0,16042,16042,none,,,,1040 22917 510 262 707 1304 2327 3804 721 982 286 656,class LinkedList:\n    def __init__(self):\n        self,,,,,.head,,no_pattern_fired,1,0,0,6.179999763844535e-05,0.026668999998946674,8.07999967946671e-05
implement linked lsit in python only code no comments,spec_eval,41,1,1,2,1,2240,2240,det_ctx8,det_ctx8,1.000,3,22917 510 262 707 1304 2327 3804 721 982 286 656 16042, LinkedList:\n    def __init__(self):\n        self.head,284, =,284, =, None,,draft_accepted,1,0,1,9.409999620402232e-05,0.027604399998381268,0.00011809999705292284
implement linked lsit in python only code no comments,spec_eval,43,1,0,1,0,271,271,none,,,,262 707 1304 2327 3804 721 982 286 656 16042 284 2240,    def __init__(self):\n        self.head = None,,,,,\n\n,,no_pattern_fired,1,0,0,4.980000085197389e-05,0.026641800002835225,6.330000178422779e-05
implement linked lsit in python only code no comments,spec_eval,44,1,1,2,1,707,707,det_ctx8,det_ctx8,1.000,2,707 1304 2327 3804 721 982 286 656 16042 284 2240 271, def __init__(self):\n        self.head = None\n\n,262,   ,262,   , def,,draft_accepted,1,0,1,5.830000009154901e-05,0.026894100003119092,0.00015520000306423753
implement linked lsit in python only code no comments,spec_eval,46,1,1,2,1,1193,1193,det_ctx8,det_ctx8,1.000,2,2327 3804 721 982 286 656 16042 284 2240 271 262 707,init__(self):\n        self.head = None\n\n    def,8737, append,8737, append,(self,,draft_accepted,1,0,1,4.749999789055437e-05,0.026396299996122252,0.0001188000023830682
implement linked lsit in python only code no comments,spec_eval,48,1,1,2,1,821,821,det_ctx8,det_ctx8,1.000,2,721 982 286 656 16042 284 2240 271 262 707 8737 1193,self):\n        self.head = None\n\n    def append(self,11,",",11,",", data,,draft_accepted,1,0,1,7.719999848632142e-05,0.025003799994010478,0.00014830000145593658
implement linked lsit in python only code no comments,spec_eval,50,1,1,2,1,286,286,det_ctx8,det_ctx8,1.000,2,286 656 16042 284 2240 271 262 707 8737 1193 11 821,"        self.head = None\n\n    def append(self, data",982,):\n,982,):\n,       ,,draft_accepted,1,0,1,6.399999983841553e-05,0.025291700003435835,0.00011919999815290794
implement linked lsit in python only code no comments,spec_eval,52,1,1,2,1,5084,5084,det_ctx8,det_ctx8,1.000,2,16042 284 2240 271 262 707 8737 1193 11 821 982 286,".head = None\n\n    def append(self, data):\n       ",501, new,501, new,_node,,draft_accepted,1,0,1,5.2600000344682485e-05,0.025057300001208205,0.00011520000407472253
implement linked lsit in python only code no comments,spec_eval,54,1,1,2,1,6018,6018,det_ctx8,det_ctx8,1.000,2,2240 271 262 707 8737 1193 11 821 982 286 501 5084," None\n\n    def append(self, data):\n        new_node",284, =,284, =, Node,,draft_accepted,1,0,1,7.560000085504726e-05,0.02515519999724347,0.0003171999996993691
implement linked lsit in python only code no comments,spec_eval,56,1,1,2,1,340,340,det_ctx8,det_ctx8,1.000,3,262 707 8737 1193 11 821 982 286 501 5084 284 6018,"    def append(self, data):\n        new_node = Node",2592,(data,2592,(data,)\n,,draft_accepted,1,0,1,6.720000237692147e-05,0.025241200004529674,0.00011869999434566125
implement linked lsit in python only code no comments,spec_eval,58,1,1,2,1,421,421,det_ctx8,det_ctx8,1.000,3,8737 1193 11 821 982 286 501 5084 284 6018 2592 340," append(self, data):\n        new_node = Node(data)\n",286,       ,286,       , if,,draft_accepted,1,0,1,0.0002423999976599589,0.025410700000065845,0.00015700000221841037
implement linked lsit in python only code no comments,spec_eval,60,1,1,2,1,656,656,det_ctx8,det_ctx8,1.000,3,11 821 982 286 501 5084 284 6018 2592 340 286 421,", data):\n        new_node = Node(data)\n        if",537, not,537, not, self,,draft_accepted,1,0,1,0.00010099999781232327,0.025084000000788365,0.00015199999324977398
implement linked lsit in python only code no comments,spec_eval,62,1,1,2,1,510,510,det_ctx8,det_ctx8,1.000,3,982 286 501 5084 284 6018 2592 340 286 421 537 656,):\n        new_node = Node(data)\n        if not self,16042,.head,16042,.head,:\n,,draft_accepted,1,0,1,9.660000068834051e-05,0.025111399998422712,0.0001390999968862161
implement linked lsit in python only code no comments,spec_eval,64,1,1,2,1,656,656,syntax_indent,syntax_indent,0.980,999,501 5084 284 6018 2592 340 286 421 537 656 16042 510, new_node = Node(data)\n        if not self.head:\n,310,           ,310,           , self,,draft_accepted,1,0,1,3.6299999919719994e-05,0.025061000000278,0.00014289999671746045
implement linked lsit in python only code no comments,spec_eval,66,1,1,2,1,284,284,det_ctx8,det_ctx8,1.000,4,284 6018 2592 340 286 421 537 656 16042 510 310 656, = Node(data)\n        if not self.head:\n            self,16042,.head,16042,.head, =,,draft_accepted,1,0,1,6.600000051548705e-05,0.02541449999989709,0.00020960000256309286
implement linked lsit in python only code no comments,spec_eval,68,1,1,2,1,5084,5084,det_ctx8,det_ctx8,1.000,4,2592 340 286 421 537 656 16042 510 310 656 16042 284,(data)\n        if not self.head:\n            self.head =,501, new,501, new,_node,,draft_accepted,1,0,1,7.529999857069924e-05,0.025434600000153296,0.00011919999815290794
implement linked lsit in python only code no comments,spec_eval,70,1,1,2,1,310,310,det_ctx8,det_ctx8,1.000,4,286 421 537 656 16042 510 310 656 16042 284 501 5084,        if not self.head:\n            self.head = new_node,198,\n,198,\n,           ,,draft_accepted,1,0,1,4.8099995183292776e-05,0.02554529999906663,0.0001157000006060116
implement linked lsit in python only code no comments,spec_eval,72,1,0,1,0,470,470,none,,,,537 656 16042 510 310 656 16042 284 501 5084 198 310, not self.head:\n            self.head = new_node\n           ,,,,, return,,no_pattern_fired,1,0,0,5.509999755304307e-05,0.026419499998155516,8.969999908003956e-05
implement linked lsit in python only code no comments,spec_eval,73,1,1,2,1,286,286,strong_ctx8,strong_ctx8,1.000,1,656 16042 510 310 656 16042 284 501 5084 198 310 470, self.head:\n            self.head = new_node\n            return,198,\n,198,\n,       ,,draft_accepted,1,0,1,9.99000039882958e-05,0.026807399997778703,0.00015310000162571669
implement linked lsit in python only code no comments,spec_eval,75,1,1,2,1,5084,5084,strong_ctx8,strong_ctx8,1.000,1,510 310 656 16042 284 501 5084 198 310 470 198 286,:\n            self.head = new_node\n            return\n       ,1537, last,1537, last,_node,,draft_accepted,1,0,1,4.7599998652003706e-05,0.02661459999944782,0.00015339999663410708
implement linked lsit in python only code no comments,spec_eval,77,1,1,2,1,656,656,strong_ctx8,strong_ctx8,1.000,1,656 16042 284 501 5084 198 310 470 198 286 1537 5084, self.head = new_node\n            return\n        last_node,284, =,284, =, self,,draft_accepted,1,0,1,7.480000203941017e-05,0.02532210000208579,0.00014240000018617138
implement linked lsit in python only code no comments,spec_eval,79,1,1,2,1,198,198,strong_ctx8,strong_ctx8,1.000,1,284 501 5084 198 310 470 198 286 1537 5084 284 656, = new_node\n            return\n        last_node = self,16042,.head,16042,.head,\n,,draft_accepted,1,0,1,4.859999899053946e-05,0.025106099994445685,0.00012109999806853011
implement linked lsit in python only code no comments,spec_eval,81,1,1,2,1,1393,1393,strong_ctx8,strong_ctx8,1.000,1,5084 198 310 470 198 286 1537 5084 284 656 16042 198,_node\n            return\n        last_node = self.head\n,286,       ,286,       , while,,draft_accepted,1,0,1,4.930000432068482e-05,0.025585499999579042,0.00015409999468829483
implement linked lsit in python only code no comments,spec_eval,83,1,1,2,1,5084,5084,strong_ctx8,strong_ctx8,1.000,1,310 470 198 286 1537 5084 284 656 16042 198 286 1393,            return\n        last_node = self.head\n        while,1537, last,1537, last,_node,,draft_accepted,1,0,1,7.819999882485718e-05,0.02541439999913564,0.0001447000031475909
implement linked lsit in python only code no comments,spec_eval,85,1,1,2,1,510,510,strong_ctx8,strong_ctx8,1.000,1,198 286 1537 5084 284 656 16042 198 286 1393 1537 5084,\n        last_node = self.head\n        while last_node,4529,.next,4529,.next,:\n,,draft_accepted,1,0,1,6.0800004575867206e-05,0.02507060000061756,0.00012119999882997945
implement linked lsit in python only code no comments,spec_eval,87,1,1,2,1,1537,1537,syntax_indent,syntax_indent,0.980,999,1537 5084 284 656 16042 198 286 1393 1537 5084 4529 510, last_node = self.head\n        while last_node.next:\n,310,           ,310,           , last,,draft_accepted,1,0,1,3.68999972124584e-05,0.025088099995628,0.00014139999984763563
implement linked lsit in python only code no comments,spec_eval,89,1,1,2,1,284,284,strong_ctx8,strong_ctx8,1.000,1,284 656 16042 198 286 1393 1537 5084 4529 510 310 1537, = self.head\n        while last_node.next:\n            last,5084,_node,5084,_node, =,,draft_accepted,1,0,1,5.18000015290454e-05,0.025621599997975864,0.00013929999840911478
implement linked lsit in python only code no comments,spec_eval,91,1,1,2,1,5084,5084,strong_ctx8,strong_ctx8,1.000,1,16042 198 286 1393 1537 5084 4529 510 310 1537 5084 284,.head\n        while last_node.next:\n            last_node =,1537, last,1537, last,_node,,draft_accepted,1,0,1,5.329999839887023e-05,0.02577910000400152,0.0003117000014754012
implement linked lsit in python only code no comments,spec_eval,93,1,1,2,1,198,198,strong_ctx8,strong_ctx8,1.000,1,286 1393 1537 5084 4529 510 310 1537 5084 284 1537 5084,        while last_node.next:\n            last_node = last_node,4529,.next,4529,.next,\n,,draft_accepted,1,0,1,8.439999510301277e-05,0.025996500000474043,0.0002466000005370006
implement linked lsit in python only code no comments,spec_eval,95,1,1,2,1,1537,1537,strong_ctx8,strong_ctx8,1.000,1,1537 5084 4529 510 310 1537 5084 284 1537 5084 4529 198, last_node.next:\n            last_node = last_node.next\n,286,       ,286,       , last,,draft_accepted,1,0,1,7.020000339252874e-05,0.025243799995223526,0.00016199999663513154
implement linked lsit in python only code no comments,spec_eval,97,1,1,2,1,4529,4529,strong_ctx8,strong_ctx8,1.000,1,4529 510 310 1537 5084 284 1537 5084 4529 198 286 1537,.next:\n            last_node = last_node.next\n        last,5084,_node,5084,_node,.next,,draft_accepted,1,0,1,5.5800002883188426e-05,0.025106100001721643,0.00012599999899975955
