task_id,task_index,prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
HumanEval/0,1,,spec_eval,9,1,1,1,0,6901,6901,syntax_range_paren,syntax_range_paren,1.000,999,2487 1172 624 262 5109 10614 741 262 369 600 304 2088, body only.\n    numbers.sort()\n    for i in range,7,(,6901,(len,(len,0,draft_token_mismatch,1,0,0,9.859999954642262e-05,0.033186900000146125,0.00016360000154236332
HumanEval/0,1,,spec_eval,10,1,1,1,0,47207,47207,strong_ctx5,strong_ctx5,1.000,1,1172 624 262 5109 10614 741 262 369 600 304 2088 6901, only.\n    numbers.sort()\n    for i in range(len,63779,(Graph,47207,(numbers,(numbers,0,draft_token_mismatch,2,0,0,0.00011220000124012586,0.03084320000016305,0.00014930000179447234
HumanEval/0,1,,spec_eval,13,1,1,1,0,220,220,syntax_minus_one,syntax_minus_one,0.930,999,5109 10614 741 262 369 600 304 2088 6901 47207 8 481, numbers.sort()\n    for i in range(len(numbers) -,16,1,220, , ,0,draft_token_mismatch,3,0,0,0.00011850000009872019,0.032741400000304566,0.0001415999995515449
HumanEval/0,1,,spec_eval,25,1,1,1,0,5109,5109,syntax_minus_one,syntax_minus_one,0.930,999,220 16 982 286 421 5109 989 488 220 16 60 481, 1):\n        if numbers[i + 1] -,16,1,5109, numbers, numbers,0,draft_token_mismatch,4,0,0,0.00010329999895475339,0.034103699999832315,0.00011509999967529438
HumanEval/0,1,,spec_eval,34,1,2,2,1,262,262,syntax_return_terminal,syntax_return_terminal|syntax_dedent_after_terminal,1.000|0.940,999|999,16 60 481 5109 989 60 366 12171 510 310 470 3007,1] - numbers[i] < threshold:\n            return True,198 286,\n       ,198 262,\n   ,   ,1,draft_token_mismatch,5,0,1,0.00013789999866276048,0.04406759999983478,0.00018119999913324136
HumanEval/0,1,,spec_eval,38,1,1,1,0,1406,1406,syntax_return_terminal,syntax_return_terminal,1.000,999,989 60 366 12171 510 310 470 3007 198 262 470 3557,[i] < threshold:\n            return True\n    return False,198,\n,1406,\n\n\n,\n\n\n,0,draft_token_mismatch,6,0,0,9.830000090005342e-05,0.032390899999882095,0.00011239999912504572
HumanEval/1,2,,spec_eval,27,1,1,1,0,369,369,strong_ctx5,strong_ctx5,1.000,1,2730 284 8389 262 1787 620 9151 284 220 15 198 262," temp = """"\n    open_paren = 0\n   ",10619, priority,369, for, for,0,draft_token_mismatch,1,0,0,0.00010590000056254212,0.02911579999999958,0.00014089999967836775
HumanEval/1,2,,spec_eval,47,1,1,1,0,286,286,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0.880,999,1161 621 33579 510 310 1787 620 9151 1421 220 16 198," char == ""("":\n            open_paren += 1\n",310,           ,286,       ,       ,0,draft_token_mismatch,2,0,0,0.0011426999990362674,0.02865919999931066,0.00011360000098648015
HumanEval/1,2,,spec_eval,48,1,1,1,0,4409,4409,det_ctx5,det_ctx5,1.000,2,621 33579 510 310 1787 620 9151 1421 220 16 198 286," == ""("":\n            open_paren += 1\n       ",1290, right,4409, elif, elif,0,draft_token_mismatch,3,0,0,0.0001238999993802281,0.02871709999999439,0.0002113999998982763
HumanEval/1,2,,spec_eval,61,1,1,1,0,286,286,det_ctx4,det_ctx4,1.000,2,1161 621 12310 4660 310 1787 620 9151 5982 220 16 198," char == "")"":\n            open_paren -= 1\n",262,   ,286,       ,       ,0,draft_token_mismatch,4,0,0,8.589999924879521e-05,0.029114900000422494,0.0001229999998031417
HumanEval/1,2,,spec_eval,62,1,1,1,0,2730,2730,det_ctx4,det_ctx4,1.000,2,621 12310 4660 310 1787 620 9151 5982 220 16 198 286," == "")"":\n            open_paren -= 1\n       ",1290, right,2730, temp, temp,0,draft_token_mismatch,5,0,0,8.35999999253545e-05,0.029244900000776397,0.00012099999912607018
HumanEval/1,2,,spec_eval,75,1,2,2,1,1102,1102,syntax_indent,syntax_indent|det_ctx5,0.980|1.000,999|4,1421 1161 198 286 421 1787 620 9151 621 220 15 510, += char\n        if open_paren == 0:\n,310 470,            return,310 1102,            result, result,1,draft_token_mismatch,6,0,1,0.00011799999992945231,0.03327769999850716,0.00021860000015294645
HumanEval/1,2,,spec_eval,84,1,1,1,0,262,262,syntax_same_indent_simple_assign,syntax_same_indent_simple_assign,0.880,999,220 15 510 310 1102 2057 9758 340 310 2730 284 8389," 0:\n            result.append(temp)\n            temp = """"\n",310,           ,262,   ,   ,0,draft_token_mismatch,7,0,0,8.709999929124024e-05,0.029035300000032294,0.00013480000052368268
HumanEval/1,2,,spec_eval,100,1,1,1,0,271,271,strong_ctx4,strong_ctx4,1.000,1,333 1304 606 563 621 13265 3817 21082 262 1159 653 67880,"if __name__ == ""__main__"":\n    import doctest",198,\n,271,\n\n,\n\n,0,draft_token_mismatch,8,0,0,0.00012710000009974465,0.028340200000457116,0.00014420000115933362
