prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,passes_saved_est,pattern_s,decode_s,verify_s
implement linked lsit in python only code no comments,spec_eval,1,1,0,1,0,1293,1293,none,,,,1329 4863 14078 57621 1276 1294 17483 2342 3475 1836 15476 1010,implement linked lsit in python only code no comments\n,,,,,   ,,no_pattern_fired,0,0,0,4.959999932907522e-05,0.07733299999381416,4.8300003982149065e-05
implement linked lsit in python only code no comments,spec_eval,2,1,0,1,0,1845,1845,none,,,,4863 14078 57621 1276 1294 17483 2342 3475 1836 15476 1010 1293,plement linked lsit in python only code no comments\n   ,,,,, class,,no_pattern_fired,0,0,0,5.7900004321709275e-05,0.07753609999781474,5.3499999921768904e-05
implement linked lsit in python only code no comments,spec_eval,3,1,0,1,0,15893,15893,none,,,,14078 57621 1276 1294 17483 2342 3475 1836 15476 1010 1293 1845, linked lsit in python only code no comments\n    class,,,,, Node,,no_pattern_fired,0,0,0,7.26999860489741e-05,0.07366419999743812,5.220000457484275e-05
implement linked lsit in python only code no comments,spec_eval,4,1,0,1,0,1877,1877,none,,,,57621 1276 1294 17483 2342 3475 1836 15476 1010 1293 1845 15893, lsit in python only code no comments\n    class Node,,,,,:\n,,no_pattern_fired,0,0,0,6.320000102277845e-05,0.07684969999536406,5.4800009820610285e-05
implement linked lsit in python only code no comments,spec_eval,5,1,1,2,1,2121,2121,syntax_indent,syntax_indent,0.980,999,1276 1294 17483 2342 3475 1836 15476 1010 1293 1845 15893 1877,it in python only code no comments\n    class Node:\n,1369,       ,1369,       , def,,draft_accepted,0,0,1,5.9300000430084765e-05,0.09906510000291746,0.0001877999893622473
implement linked lsit in python only code no comments,spec_eval,7,1,0,1,0,6234,6234,none,,,,17483 2342 3475 1836 15476 1010 1293 1845 15893 1877 1369 2121, python only code no comments\n    class Node:\n        def,,,,, __,,no_pattern_fired,0,0,0,0.0001066999975591898,0.07215459999861196,5.610000516753644e-05
implement linked lsit in python only code no comments,spec_eval,8,1,1,2,1,15537,15537,syntax_dunder_init,syntax_dunder_init,1.000,999,2342 3475 1836 15476 1010 1293 1845 15893 1877 1369 2121 6234, only code no comments\n    class Node:\n        def __,4692,init,4692,init,__(,,draft_accepted,0,0,1,8.129999332595617e-05,0.0900580000015907,0.0001311999949393794
implement linked lsit in python only code no comments,spec_eval,10,1,1,2,1,1044,1044,syntax_dunder_self,syntax_dunder_self,1.000,999,1836 15476 1010 1293 1845 15893 1877 1369 2121 6234 4692 15537, no comments\n    class Node:\n        def __init__(,2917,self,2917,self,",",,draft_accepted,0,0,1,0.0001252000074600801,0.09120049999910407,0.00015339998935814947
implement linked lsit in python only code no comments,spec_eval,12,1,0,1,0,2181,2181,none,,,,1010 1293 1845 15893 1877 1369 2121 6234 4692 15537 2917 1044,"\n    class Node:\n        def __init__(self,",,,,, data,,no_pattern_fired,0,0,0,0.00010230000771116465,0.07443639999837615,8.450000314041972e-05
implement linked lsit in python only code no comments,spec_eval,13,1,1,2,1,1463,1463,det_ctx7,det_ctx7,1.000,2,1293 1845 15893 1877 1369 2121 6234 4692 15537 2917 1044 2181,"    class Node:\n        def __init__(self, data",3640,):\n,3640,):\n,           ,,draft_accepted,0,0,1,9.750000026542693e-05,0.09463249999680556,9.380000119563192e-05
implement linked lsit in python only code no comments,spec_eval,15,1,0,1,0,2585,2585,none,,,,15893 1877 1369 2121 6234 4692 15537 2917 1044 2181 3640 1463," Node:\n        def __init__(self, data):\n           ",,,,, self,,no_pattern_fired,0,0,0,7.929999264888465e-05,0.06969380000373349,4.4500004150904715e-05
implement linked lsit in python only code no comments,spec_eval,16,1,0,1,0,7122,7122,none,,,,1877 1369 2121 6234 4692 15537 2917 1044 2181 3640 1463 2585,":\n        def __init__(self, data):\n            self",,,,,.data,,no_pattern_fired,0,0,0,6.130000110715628e-05,0.07566569998743944,5.080000846646726e-05
implement linked lsit in python only code no comments,spec_eval,17,1,0,1,0,1376,1376,none,,,,1369 2121 6234 4692 15537 2917 1044 2181 3640 1463 2585 7122,"        def __init__(self, data):\n            self.data",,,,, =,,no_pattern_fired,0,0,0,7.769999501761049e-05,0.07186929999443237,5.259999306872487e-05
implement linked lsit in python only code no comments,spec_eval,18,1,0,1,0,2181,2181,none,,,,2121 6234 4692 15537 2917 1044 2181 3640 1463 2585 7122 1376," def __init__(self, data):\n            self.data =",,,,, data,,no_pattern_fired,0,0,0,8.060000254772604e-05,0.07624939999368507,4.75000124424696e-05
implement linked lsit in python only code no comments,spec_eval,19,1,0,1,0,1010,1010,none,,,,6234 4692 15537 2917 1044 2181 3640 1463 2585 7122 1376 2181," __init__(self, data):\n            self.data = data",,,,,\n,,no_pattern_fired,0,0,0,1.4999968698248267e-06,0.08324340000399388,5.5899989092722535e-05
