task_id,entry_point,output_tokens,proposed_draft_tokens,accepted_draft_tokens,rejected_draft_tokens_est,target_model_tokens_est,proposed_pct_of_output,accepted_pct_of_output,target_model_pct_of_output,accept_rate_of_proposed,draft_pass_rows,no_rule_rows,reject_events,identical_to_greedy
HumanEval/0,has_close_elements,128,11,6,5,122,8.59,4.69,95.31,54.55,10,111,5,True
HumanEval/1,separate_paren_groups,128,33,14,19,114,25.78,10.94,89.06,42.42,24,89,10,True
HumanEval/2,truncate_number,128,10,8,2,120,7.81,6.25,93.75,80.0,10,109,2,False
HumanEval/3,below_zero,128,75,72,3,56,58.59,56.25,43.75,96.0,34,21,3,True
HumanEval/4,mean_absolute_deviation,128,14,10,4,118,10.94,7.81,92.19,71.43,11,106,4,False
HumanEval/5,intersperse,128,47,45,2,83,36.72,35.16,64.84,95.74,33,49,2,False
HumanEval/6,parse_nested_parens,128,53,47,6,81,41.41,36.72,63.28,88.68,28,52,6,True
HumanEval/7,filter_by_substring,128,76,76,0,52,59.38,59.38,40.62,100.0,23,28,0,True
HumanEval/8,sum_product,128,75,74,1,54,58.59,57.81,42.19,98.67,23,30,1,True
HumanEval/9,rolling_max,128,15,13,2,115,11.72,10.16,89.84,86.67,13,101,2,True
HumanEval/10,make_palindrome,128,29,27,2,101,22.66,21.09,78.91,93.1,19,81,2,True
HumanEval/11,string_xor,128,1,1,0,127,0.78,0.78,99.22,100.0,1,125,0,True
HumanEval/12,longest,128,66,63,3,65,51.56,49.22,50.78,95.45,34,31,2,False
HumanEval/13,greatest_common_divisor,128,14,10,4,118,10.94,7.81,92.19,71.43,14,104,4,True
HumanEval/14,all_prefixes,128,79,77,2,51,61.72,60.16,39.84,97.47,26,25,2,False
HumanEval/15,string_sequence,128,21,15,6,113,16.41,11.72,88.28,71.43,21,92,6,True
HumanEval/16,count_distinct_characters,128,13,9,4,119,10.16,7.03,92.97,69.23,13,106,4,True
HumanEval/17,parse_music,128,37,30,7,98,28.91,23.44,76.56,81.08,20,78,3,False
HumanEval/18,how_many_times,128,16,10,6,118,12.5,7.81,92.19,62.5,13,105,6,True
HumanEval/19,sort_numbers,128,10,8,2,120,7.81,6.25,93.75,80.0,8,112,2,True
