task_id,entry_point,output_tokens,proposed_draft_tokens,accepted_draft_tokens,rejected_draft_tokens_est,target_model_tokens_est,proposed_pct_of_output,accepted_pct_of_output,target_model_pct_of_output,accept_rate_of_proposed,draft_pass_rows,no_rule_rows,reject_events,identical_to_greedy
HumanEval/0,has_close_elements,128,11,6,5,122,8.59,4.69,95.31,54.55,10,111,5,True
HumanEval/1,separate_paren_groups,128,34,14,20,114,26.56,10.94,89.06,41.18,24,89,11,True
HumanEval/2,truncate_number,128,10,8,2,120,7.81,6.25,93.75,80.0,10,109,2,False
HumanEval/3,below_zero,128,75,72,3,56,58.59,56.25,43.75,96.0,34,21,3,True
HumanEval/4,mean_absolute_deviation,128,17,13,4,115,13.28,10.16,89.84,76.47,11,103,4,False
HumanEval/5,intersperse,128,47,45,2,83,36.72,35.16,64.84,95.74,33,49,2,False
HumanEval/6,parse_nested_parens,128,53,47,6,81,41.41,36.72,63.28,88.68,28,52,6,True
HumanEval/7,filter_by_substring,128,76,76,0,52,59.38,59.38,40.62,100.0,23,28,0,True
HumanEval/8,sum_product,128,76,75,1,53,59.38,58.59,41.41,98.68,22,30,1,True
HumanEval/9,rolling_max,128,15,13,2,115,11.72,10.16,89.84,86.67,13,101,2,True
HumanEval/10,make_palindrome,128,29,27,2,101,22.66,21.09,78.91,93.1,19,81,2,False
HumanEval/11,string_xor,128,1,1,0,127,0.78,0.78,99.22,100.0,1,125,0,True
HumanEval/12,longest,128,70,69,1,59,54.69,53.91,46.09,98.57,28,31,1,False
HumanEval/13,greatest_common_divisor,128,14,10,4,118,10.94,7.81,92.19,71.43,14,104,4,True
HumanEval/14,all_prefixes,128,86,84,2,44,67.19,65.62,34.38,97.67,26,18,2,True
HumanEval/15,string_sequence,128,21,15,6,113,16.41,11.72,88.28,71.43,21,92,6,True
HumanEval/16,count_distinct_characters,128,13,9,4,119,10.16,7.03,92.97,69.23,13,106,4,True
HumanEval/17,parse_music,128,42,31,11,97,32.81,24.22,75.78,73.81,19,78,3,False
HumanEval/18,how_many_times,128,16,10,6,118,12.5,7.81,92.19,62.5,13,105,6,True
HumanEval/19,sort_numbers,128,10,8,2,120,7.81,6.25,93.75,80.0,8,112,2,True
