tier,rows,proposed_tokens,accepted_tokens,rejected_tokens_est,reject_events,accept_rate_pct,pattern_s,decode_s,verify_s
det_ctx8,109,350,331,19,10,94.57,0.014418,4.736791,0.026433
strong_ctx8,53,89,84,5,5,94.38,0.004959,1.781021,0.009621
syntax_indent,53,68,62,6,2,91.18,0.006072,1.657325,0.008182
strong_ctx4,31,31,18,13,13,58.06,0.002223,0.909961,0.004244
strong_ctx6,21,21,13,8,8,61.9,0.001588,0.622784,0.003128
det_ctx4,20,20,15,5,5,75.0,0.001377,0.581429,0.002656
syntax_same_indent_simple_assign,14,14,8,6,6,57.14,0.002057,0.408013,0.001867
det_ctx7,6,14,13,1,1,92.86,0.000682,0.233352,0.001142
freq_ctx5,6,12,10,2,1,83.33,0.000502,0.19703,0.000992
syntax_for_in,11,11,11,0,0,100.0,0.001059,0.336743,0.001671
strong_ctx5,8,8,4,4,4,50.0,0.000562,0.232515,0.001122
syntax_name_eq,8,8,8,0,0,100.0,0.000755,0.229567,0.001251
syntax_minus_one,7,7,5,2,2,71.43,0.000894,0.199668,0.00101
syntax_return_terminal,5,7,4,3,3,57.14,0.000468,0.144163,0.000963
det_ctx5,6,6,4,2,2,66.67,0.000387,0.175525,0.000819
det_ctx6,3,6,6,0,0,100.0,0.000267,0.094369,0.000704
syntax_block_colon,3,6,6,0,0,100.0,0.000364,0.10343,0.000617
strong_ctx7,5,6,6,0,0,100.0,0.000318,0.148146,0.00067
syntax_dedent_after_terminal,3,3,2,1,1,66.67,0.000259,0.086792,0.000385
syntax_return_len_self,2,2,0,2,2,0.0,0.000263,0.058292,0.000275
freq_ctx8,1,2,2,0,0,100.0,8.6e-05,0.040012,0.00017
syntax_statement_end,1,2,1,1,1,50.0,0.000134,0.036746,0.000219
syntax_code_fence_def,1,1,1,0,0,100.0,0.000191,0.031679,0.000117
syntax_pluseq_space,1,1,1,0,0,100.0,5.4e-05,0.029787,0.000125
none,1555,0,0,0,0,0.0,0.120711,41.131501,0.123002
